Treatment,Height
A,3.564881369
A,3.526663373
A,3.101137801
A,8.275834614
A,5.790228382
A,5.218752132
A,4.036910196
A,4.105623193
A,5.17661112
A,1.506098074
B,9.036388466
B,14.48476962
B,8.533168625
B,12.40884941
B,8.807247216
B,8.637137054
B,11.0284829
B,12.11171258
B,11.6621333
B,9.267820903
C,12.40019154
C,16.71651255
C,13.61068384
C,10.54245
C,17.04253218
C,14.58643566
C,13.14799928
C,16.08271296
C,15.75856901
C,16.75856901
D,18.61569755
D,17.33974527
D,17.49140775
D,20.4761675
D,18.59485573
D,18.33943355
D,20.82984719
D,21.65471436
D,20.52244727
D,23.21860235
