X1ha.Plot.Number,Sampling.Period,PlotBiomass.kg,PlotCarbon.tonnes,Reserve_size.sqkm,Continent,Country,Precip_mean.mm,Precip_CV,Elevation,Distance_to_forest_edge
VG-BCI-1,2010.01,285362.27,156.95,274,Latin America,Panama,2420,0.608913889,58,0.5
VG-BCI-3,2010.01,266261.74,146.44,274,Latin America,Panama,2420,0.608913889,156,0.1
VG-BCI-4,2010.01,386951.19,212.82,274,Latin America,Panama,2420,0.608913889,189,1.4
VG-BCI-5,2010.01,374763.58,206.12,274,Latin America,Panama,2420,0.608913889,170,0.9
VG-BCI-6,2010.01,272974.55,150.14,274,Latin America,Panama,2420,0.608913889,68,0.9
VG-BBS-1,2009.01,198319.95,109.08,3560,Asia,Indonesia,2871.332897,0.145998519,56,0.1
VG-BBS-1,2010.01,208276.73,114.55,3560,Asia,Indonesia,2871.332897,0.145998519,56,0.1
VG-BBS-2,2009.01,202604.29,111.43,3560,Asia,Indonesia,2871.332897,0.145998519,22,0.1
VG-BBS-2,2010.01,215965.15,118.78,3560,Asia,Indonesia,2871.332897,0.145998519,22,0.1
VG-BBS-3,2009.01,215684.25,118.63,3560,Asia,Indonesia,2871.332897,0.145998519,31,0.1
VG-BBS-3,2010.01,223417.41,122.88,3560,Asia,Indonesia,2871.332897,0.145998519,31,0.1
VG-BBS-4,2009.01,405802.41,223.19,3560,Asia,Indonesia,2871.332897,0.145998519,197,1.7
VG-BBS-4,2010.01,418867.8,230.38,3560,Asia,Indonesia,2871.332897,0.145998519,197,1.7
VG-BBS-5,2009.01,131824.13,72.5,3560,Asia,Indonesia,2871.332897,0.145998519,66,1
VG-BBS-5,2010.01,136455.82,75.05,3560,Asia,Indonesia,2871.332897,0.145998519,66,1
VG-BBS-6,2009.01,374235.4,205.83,3560,Asia,Indonesia,2871.332897,0.145998519,166,0.1
VG-BBS-6,2010.01,384264.25,211.35,3560,Asia,Indonesia,2871.332897,0.145998519,166,0.1
VG-BIF-1,2009.01,195004.03,107.25,331,Africa,Uganda,1239,0.323365924,1496,0.6
VG-BIF-1,2010.01,200019.82,110.01,331,Africa,Uganda,1239,0.323365924,1496,0.6
VG-BIF-1,2011.01,200216.21,110.12,331,Africa,Uganda,1239,0.323365924,1496,0.6
VG-BIF-2,2009.01,65755.23,36.17,331,Africa,Uganda,1239,0.323365924,1417,0.2
VG-BIF-2,2010.01,71462.99,39.3,331,Africa,Uganda,1239,0.323365924,1417,0.2
VG-BIF-2,2011.01,77223.77,42.47,331,Africa,Uganda,1239,0.323365924,1417,0.2
VG-BIF-3,2009.01,198022.16,108.91,331,Africa,Uganda,1239,0.323365924,1879,1
VG-BIF-3,2010.01,199432.05,109.69,331,Africa,Uganda,1239,0.323365924,1879,1
VG-BIF-3,2011.01,201722.01,110.95,331,Africa,Uganda,1239,0.323365924,1879,1
VG-BIF-4,2009.01,331762.81,182.47,331,Africa,Uganda,1239,0.323365924,2050,3.1
VG-BIF-4,2010.01,339882.68,186.94,331,Africa,Uganda,1239,0.323365924,2050,3.1
VG-BIF-4,2011.01,339805.11,186.89,331,Africa,Uganda,1239,0.323365924,2050,3.1
VG-BIF-5,2009.01,198581.03,109.22,331,Africa,Uganda,1239,0.323365924,2100,1.7
VG-BIF-5,2010.01,207352.33,114.04,331,Africa,Uganda,1239,0.323365924,2100,1.7
VG-BIF-5,2011.01,203638.66,112,331,Africa,Uganda,1239,0.323365924,2100,1.7
VG-BIF-6,2009.01,197738.86,108.76,331,Africa,Uganda,1239,0.323365924,2338,3.1
VG-BIF-6,2010.01,201725.48,110.95,331,Africa,Uganda,1239,0.323365924,2338,3.1
VG-BIF-6,2011.01,205861.14,113.22,331,Africa,Uganda,1239,0.323365924,2338,3.1
VG-CAX-1,2002.01,NaN,NaN,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2003.01,464588.46,255.52,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2004.01,451699.53,248.43,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2005.01,453881.38,249.63,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2005.02,451386.98,248.26,330,Latin America,Brazil,2342,0.574765076,44,3.1
VG-CAX-1,2006.01,456844.1,251.26,330,Latin America,Brazil,2342,0.574765076,44,3.1
