X1ha.Plot.Number,Sampling.Period,Site.Name,Latitude,Longitude,Annual_Evapotranspiration
VG-BBS-1,2010.01,Bukit Barisan,-5.25,104.167,141.5625745
VG-BBS-2,2010.01,Bukit Barisan,-5.25,104.167,141.5625745
VG-BBS-3,2010.01,Bukit Barisan,-5.25,104.167,141.5625745
VG-BBS-4,2010.01,Bukit Barisan,-5.25,104.167,141.5625745
VG-BBS-5,2010.01,Bukit Barisan,-5.25,104.167,141.5625745
VG-BBS-6,2010.01,Bukit Barisan,-5.25,104.167,141.5625745
VG-BCI-1,2010.01,Barro Colorado Nature Monument - Soberania National Park,9.152,-79.846,121.5588894
VG-BCI-3,2010.01,Barro Colorado Nature Monument - Soberania National Park,9.152,-79.846,121.5588894
VG-BCI-4,2010.01,Barro Colorado Nature Monument - Soberania National Park,9.152,-79.846,121.5588894
VG-BCI-5,2010.01,Barro Colorado Nature Monument - Soberania National Park,9.152,-79.846,121.5588894
VG-BCI-6,2010.01,Barro Colorado Nature Monument - Soberania National Park,9.152,-79.846,121.5588894
VG-BIF-1,2011.01,Bwindi Impenetrable Forest,-1.081,29.661,88.35370759
VG-BIF-2,2011.01,Bwindi Impenetrable Forest,-1.081,29.661,88.35370759
VG-BIF-3,2011.01,Bwindi Impenetrable Forest,-1.081,29.661,88.35370759
VG-BIF-4,2011.01,Bwindi Impenetrable Forest,-1.081,29.661,88.35370759
VG-BIF-5,2011.01,Bwindi Impenetrable Forest,-1.081,29.661,88.35370759
VG-BIF-6,2011.01,Bwindi Impenetrable Forest,-1.081,29.661,88.35370759
VG-CAX-1,2010.01,Caxiuanã,-1.729,-51.474,157.0110761
VG-CAX-2,2010.01,Caxiuanã,-1.729,-51.474,157.0110761
VG-CAX-3,2010.01,Caxiuanã,-1.729,-51.474,157.0110761
VG-CAX-4,2010.01,Caxiuanã,-1.729,-51.474,157.0110761
VG-CAX-5,2010.01,Caxiuanã,-1.729,-51.474,157.0110761
VG-CAX-6,2010.01,Caxiuanã,-1.729,-51.474,157.0110761
VG-COU-1,2011.01,Cocha Cashu - Manu National Park,-11.856,-71.721,133.5485629
VG-COU-2,2011.01,Cocha Cashu - Manu National Park,-11.856,-71.721,133.5485629
VG-COU-4,2011.01,Cocha Cashu - Manu National Park,-11.856,-71.721,133.5485629
VG-COU-6,2011.01,Cocha Cashu - Manu National Park,-11.856,-71.721,133.5485629
VG-CSN-1,2011.01,Central Suriname Nature Reserve,NA,NA,NA
VG-CSN-2,2011.01,Central Suriname Nature Reserve,NA,NA,NA
VG-CSN-3,2011.01,Central Suriname Nature Reserve,NA,NA,NA
VG-CSN-5,2011.01,Central Suriname Nature Reserve,NA,NA,NA
VG-KRP-1,2012.01,Korup National Park,5.074,8.855,114.8795023
VG-KRP-2,2012.01,Korup National Park,5.074,8.855,114.8795023
VG-KRP-3,2012.01,Korup National Park,5.074,8.855,114.8795023
VG-KRP-4,2012.01,Korup National Park,5.074,8.855,114.8795023
VG-KRP-5,2012.01,Korup National Park,5.074,8.855,114.8795023
VG-KRP-6,2012.01,Korup National Park,5.074,8.855,114.8795023
VG-MAS-1,2011.01,Manaus,-2.929,-59.976,132.4597239
VG-MAS-2,2011.01,Manaus,-2.929,-59.976,132.4597239
VG-MAS-3,2011.01,Manaus,-2.929,-59.976,132.4597239
VG-MAS-4,2011.01,Manaus,-2.929,-59.976,132.4597239
VG-MAS-5,2011.01,Manaus,-2.929,-59.976,132.4597239
VG-MAS-6,2011.01,Manaus,-2.929,-59.976,132.4597239
VG-NNN-1,2010.01,Nouabalé Ndoki,NA,NA,NA
VG-NNN-2,2010.01,Nouabalé Ndoki,NA,NA,NA
VG-NNN-3,2010.01,Nouabalé Ndoki,NA,NA,NA
VG-NNN-4,2010.01,Nouabalé Ndoki,NA,NA,NA
VG-NNN-5,2010.01,Nouabalé Ndoki,NA,NA,NA
VG-NNN-6,2010.01,Nouabalé Ndoki,NA,NA,NA
VG-PSH-1,2012.01,Pasoh Forest Reserve,2.982,103.313,117.0350265
VG-PSH-2,2012.01,Pasoh Forest Reserve,2.982,103.313,117.0350265
VG-PSH-3,2012.01,Pasoh Forest Reserve,2.982,103.313,117.0350265
VG-PSH-4,2012.01,Pasoh Forest Reserve,2.982,103.313,117.0350265
