"","X1ha.Plot.Number","Sampling.Period","Site.Name","siteyear","richness","shannon","berger","wd.nbsp","wd.sing.sp","wd.FEve","wd.FDis","wd.RaoQ","wd.wd","PD","SR","TEAM_mpd","TEAM_mpd_with_abundance","TEAM_mntd","phy_ent","TEAM_mntd_with_abundance","Species","D","Dstar","Lambda","Dplus","sd.Dplus","SDplus","ED","EDstar","EDplus","PlotBiomass.kg","PlotCarbon.tonnes","Reserve_size.sqkm","Continent","Country","Precip_mean.mm","Precip_CV","Elevation","Distance_to_forest_edge","Latitude","Longitude","Annual_Evapotranspiration"
"1","VG-BBS-1",2009.01,"Bukit Barisan","VG-BBS-1 2009.01",57,2.73048198,0.2832981,57,56,0.435540159303938,0.923340930930612,1.20734707530714,0.514236584113968,6802.981955,56,481.806209590909,441.3389985049,169.121915696429,2.5323497993674,156.317942188841,56,422.578172817767,491.531919072649,12484.3314472784,492.961702377922,11.9709167997873,27605.8553331636,496.530391750682,495.180387692304,495.397820021338,198319.95,109.08,3560,"Asia","Indonesia",2871.332897,0.145998519,56,0.1,NA,NA,NA
"2","VG-BBS-1",2010.01,"Bukit Barisan","VG-BBS-1 2010.01",59,2.76305474,0.28220859,59,58,0.458698830083272,0.919961133347038,1.22888980199796,0.5163793982646,6876.030894,58,483.42164507199,440.330136254713,164.639103758621,2.55741817054966,155.883893286307,58,423.983416575478,491.421931477368,12384.5103918057,492.088207083485,11.7420098537485,28541.1160108421,496.530391750682,495.180387692304,495.397820021338,208276.73,114.55,3560,"Asia","Indonesia",2871.332897,0.145998519,56,0.1,-5.25,104.167,141.5625745
"3","VG-BBS-1",2011.01,"Bukit Barisan","VG-BBS-1 2011.01",60,2.75814475,0.2890625,60,59,0.448233173638256,0.900671092595741,1.21550134918101,0.519504595942167,6903.114228,59,481.892578405611,435.973049443608,160.930531423729,2.54414675491417,154.368469908911,59,422.094633663021,489.825766940135,12548.0156648344,490.581937749854,11.6320177714065,28944.3343272414,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","VG-BBS-1",2012.01,"Bukit Barisan","VG-BBS-1 2012.01",60,2.75240499,0.29333333,60,59,0.446831530657085,0.894294281775822,1.21614358519313,0.520377851316933,6903.114228,59,481.892578405611,433.923742245226,160.930531423729,2.53421936396542,154.267818965251,59,421.985505729349,490.181005028688,12548.0156648344,490.581937749854,11.6320177714065,28944.3343272414,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","VG-BBS-1",2013.01,"Bukit Barisan","VG-BBS-1 2013.01",64,2.79375967,0.28996283,64,63,0.464021431805704,0.891757393236602,1.20485424548395,0.5202400425063,7257.291793,63,484.213203267793,435.40285297971,159.945870333333,2.57758994733942,152.517455758945,63,424.297164559045,490.748682905171,12163.1139789035,489.443795152074,11.2189236934652,30834.9590945806,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","VG-BBS-1",2014.01,"Bukit Barisan","VG-BBS-1 2014.01",64,2.79531318,0.29097606,64,63,0.461629154006325,0.886135129813569,1.19571476365353,0.520767086033867,7257.291793,63,484.213203267793,434.801610951228,159.945870333333,2.57828712671102,152.503905048507,63,423.98268705687,490.345938053753,12163.1139789035,489.443795152074,11.2189236934652,30834.9590945806,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","VG-BBS-1",2015.01,"Bukit Barisan","VG-BBS-1 2015.01",64,2.8044342,0.29219601,64,63,0.472633323771603,0.881343724417193,1.18432684034973,0.520812742345535,7257.291793,63,484.213203267793,435.056663887787,159.945870333333,2.58012474965425,152.694834895221,63,424.253783394655,490.374835008781,12163.1139789035,489.443795152074,11.2189236934652,30834.9590945806,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","VG-BBS-2",2009.01,"Bukit Barisan","VG-BBS-2 2009.01",78,3.6818802,0.14832536,78,77,0.392583543601745,0.632492620891051,0.69398965471041,0.572004993107574,8770.688263,78,486.417261310689,459.834103866269,168.547584897436,3.28490875081227,197.948850291866,78,438.965553357785,458.922602015175,12797.7298137426,490.072331632035,9.96632426366875,38225.6418672987,496.530391750682,495.180387692304,495.397820021338,202604.29,111.43,3560,"Asia","Indonesia",2871.332897,0.145998519,22,0.1,NA,NA,NA
"9","VG-BBS-2",2010.01,"Bukit Barisan","VG-BBS-2 2010.01",80,3.69091534,0.14685315,80,79,0.397348927120901,0.627630951811568,0.686445522204399,0.571363008350921,9074.711953,80,488.059599326582,460.676672689825,171.1434506875,3.29791074891641,196.177111074592,80,438.926841305492,458.807186693219,12682.7530561591,489.578567095253,9.82658098125309,39166.2853676203,496.530391750682,495.180387692304,495.397820021338,215965.15,118.78,3560,"Asia","Indonesia",2871.332897,0.145998519,22,0.1,-5.25,104.167,141.5625745
"10","VG-BBS-2",2011.01,"Bukit Barisan","VG-BBS-2 2011.01",84,3.70815963,0.14541387,84,83,0.41219754521354,0.623117816491546,0.675634128199546,0.57274874333679,9466.026534,84,486.623141412507,460.318696175988,171.233678952381,3.31218695342996,194.173622899329,84,439.975220748267,459.96948000386,12497.8088981052,491.663966132817,9.56217703422148,41299.7731551566,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","VG-BBS-2",2012.01,"Bukit Barisan","VG-BBS-2 2012.01",85,3.69869677,0.15268817,85,84,0.405638993471656,0.616517896606493,0.66411892366823,0.573146066301136,9684.109328,85,487.751680682353,461.191926082497,174.350524952941,3.30977490321318,198.096110911828,85,439.028873096237,459.833928772338,12443.3025418058,491.609624613445,9.49899668932931,41786.8180921429,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
