Dataset,nest.ID,age,burned,FirstFound.Date,LastPresent.Date,LastChecked.Date,fate
After,15-SV-14NV2880-U-N1,Yearling,0,4/8/2015,4/13/2015,4/18/2015,0
After,15-SV-14NV2901-U-N1,Yearling,0,4/8/2015,4/17/2015,4/20/2015,0
After,15-SV-14NV2913-U-N1,Yearling,0,4/23/2015,4/30/2015,4/30/2015,1
After,15-SV-14NV2921-U-N1,Yearling,1,4/27/2015,4/30/2015,5/3/2015,0
After,15-SV-14NV3589-U-N1,Yearling,1,5/9/2015,5/23/2015,5/23/2015,1
After,15-SV-14NV3600-U-N2,Yearling,0,4/23/2015,5/4/2015,5/7/2015,0
After,15-SV-14NV3602-U-N1,Adult,0,4/20/2015,4/30/2015,4/30/2015,1
After,15-SV-14NV3632-U-N1,Yearling,0,4/22/2015,5/7/2015,5/10/2015,0
After,15-SV-14NV3637-U-N1,Adult,0,4/15/2015,4/25/2015,4/25/2015,1
After,15-SV-14SO444-U-N1,Adult,0,4/6/2015,4/6/2015,4/9/2015,0
After,15-SV-14SO444-U-N2,Adult,0,4/28/2015,5/7/2015,5/10/2015,0
After,15-SV-14SO482-U-N1,Adult,0,4/23/2015,5/12/2015,5/14/2015,0
After,15-SV-14SO486-U-N1,Yearling,0,4/15/2015,4/18/2015,4/22/2015,0
After,15-SV-14SO488-U-N1,Adult,0,5/1/2015,5/29/2015,5/29/2015,1
After,15-SV-SVNoBand-U-N1,Adult,0,4/8/2015,4/8/2015,4/12/2015,0
After,16-SV-14NV2587-U-N1,Adult,1,4/17/2016,4/17/2016,4/20/2016,0
After,16-SV-14NV2670-U-N1,Yearling,0,4/16/2016,4/16/2016,4/20/2016,0
After,16-SV-14NV2901-U-N1,Adult,0,4/15/2016,5/16/2016,5/16/2016,1
After,16-SV-14NV2921-U-N1,Adult,1,5/3/2016,5/18/2016,5/21/2016,0
After,16-SV-14NV2973-U-N1,Adult,1,5/20/2016,5/29/2016,5/29/2016,1
After,16-SV-14NV3516-U-N1,Adult,0,4/19/2016,4/22/2016,4/22/2016,1
After,16-SV-14NV3518-U-N1,Adult,1,4/22/2016,4/26/2016,4/29/2016,0
After,16-SV-14NV3589-U-N1,Adult,1,5/19/2016,6/6/2016,6/6/2016,1
After,16-SV-14NV3600-U-N1,Adult,0,5/27/2016,6/11/2016,6/11/2016,1
After,16-SV-14NV3632-U-N1,Adult,0,5/21/2016,6/8/2016,6/8/2016,1
After,16-SV-14NV3756-U-N1,Adult,0,4/21/2016,4/28/2016,5/2/2016,0
After,16-SV-14NV3763-U-N1,Yearling,1,5/5/2016,5/9/2016,5/9/2016,1
After,16-SV-14NV3784-U-N1,Adult,0,4/23/2016,5/23/2016,5/23/2016,1
After,16-SV-14NV3858-U-N1,Adult,0,5/10/2016,5/25/2016,5/25/2016,1
After,16-SV-14NV3866-U-N1,Yearling,1,4/16/2016,4/16/2016,4/20/2016,0
After,16-SV-14NV3870-U-N1,Yearling,0,4/28/2016,5/15/2016,5/15/2016,1
After,16-SV-14NV4173-U-N1,Adult,0,4/23/2016,5/8/2016,5/8/2016,1
After,16-SV-14NV4179-U-N1,Yearling,1,5/10/2016,5/25/2016,5/28/2016,0
After,16-SV-14SO443-U-N1,Adult,0,5/20/2016,6/11/2016,6/11/2016,1
After,16-SV-14SO444-U-N1,Adult,0,5/22/2016,5/25/2016,5/25/2016,1
After,16-SV-14SO484-U-N1,Adult,0,4/23/2016,5/5/2016,5/5/2016,1
After,16-SV-14SO488-U-N1,Adult,0,4/23/2016,4/23/2016,4/29/2016,0
After,16-SV-14SO488-U-N2,Adult,0,5/30/2016,6/5/2016,6/8/2016,0
After,17-SV-14GS1185-U-N1,Adult,1,5/4/2017,5/13/2017,5/16/2017,0
After,17-SV-14GS1192-U-N1,Yearling,1,4/22/2017,5/21/2017,5/23/2017,0
After,17-SV-14GS1197-U-N1,Yearling,0,4/30/2017,5/14/2017,5/14/2017,1
After,17-SV-14NV2587-U-N1,Adult,1,4/20/2017,5/10/2017,5/10/2017,1
After,17-SV-14NV2921-U-N1,Adult,1,5/23/2017,6/10/2017,6/10/2017,1
After,17-SV-14NV3589-U-N1,Adult,1,5/13/2017,6/5/2017,6/5/2017,1
After,17-SV-14NV3756-U-N1,Adult,0,5/25/2017,5/28/2017,5/28/2017,1
After,17-SV-14NV3770-U-N1,Adult,0,5/9/2017,5/14/2017,5/17/2017,0
After,17-SV-14NV3858-U-N1,Adult,0,5/1/2017,5/28/2017,5/28/2017,1
After,17-SV-14NV3866-U-N1,Adult,0,4/28/2017,5/12/2017,5/12/2017,1
After,17-SV-14NV4171-U-N1,Adult,1,5/1/2017,5/4/2017,5/4/2017,1
After,17-SV-14NV4240-U-N1,Yearling,0,4/9/2017,4/27/2017,4/28/2017,0
After,17-SV-14SO484-U-N1,Adult,0,5/10/2017,6/4/2017,6/4/2017,1
After,17-SV-BELLALUNA-U-N1,Yearling,0,4/14/2017,5/5/2017,5/8/2017,0
After,17-SV-BILLIEJEAN-U-N1,Adult,1,4/22/2017,5/3/2017,5/6/2017,0
After,17-SV-BRANDI-U-N1,Yearling,0,4/17/2017,4/17/2017,4/20/2017,0
After,17-SV-BRANDI-U-N2,Yearling,0,5/4/2017,5/26/2017,5/29/2017,0
After,17-SV-MAGGIEMAY-U-N1,Yearling,0,4/23/2017,5/11/2017,5/11/2017,1
After,17-SV-TESSABOOTS-U-N1,Yearling,1,4/22/2017,4/22/2017,4/26/2017,0
After,18-SV-14GS1078-U-N1,Yearling,0,4/25/2018,5/10/2018,5/13/2018,0
After,18-SV-14GS1183-U-N1,Adult,0,5/5/2018,5/14/2018,5/17/2018,0
After,18-SV-14GS1192-U-N1,Adult,1,4/24/2018,4/24/2018,4/27/2018,0
After,18-SV-14GS1193-U-N1,Adult,0,5/10/2018,5/10/2018,5/13/2018,0
After,18-SV-14GS1197-U-N1,Adult,0,4/16/2018,4/23/2018,4/27/2018,0
After,18-SV-14GS2024-U-N1,Yearling,1,5/18/2018,6/9/2018,6/9/2018,1
After,18-SV-14GS2156-U-N1,Yearling,1,5/6/2018,5/21/2018,5/21/2018,1
After,18-SV-14GS2159-U-N1,Adult,1,5/2/2018,5/2/2018,5/12/2018,0
After,18-SV-14GS2160-U-N1,Adult,0,4/26/2018,5/19/2018,5/19/2018,1
After,18-SV-14GS2165-U-N1,Adult,0,4/24/2018,5/10/2018,5/10/2018,1
After,18-SV-14GS2168-U-N1,Yearling,0,4/9/2018,4/18/2018,4/19/2018,0
After,18-SV-14GS2168-U-N2,Yearling,0,5/7/2018,5/17/2018,5/18/2018,0
After,18-SV-14GS2177-U-N1,Yearling,0,4/11/2018,4/26/2018,4/30/2018,0
After,18-SV-14GS2187-U-N1,Yearling,1,5/1/2018,5/16/2018,5/16/2018,1
After,18-SV-14GS2192-U-N1,Yearling,0,5/9/2018,5/28/2018,5/28/2018,1
After,18-SV-14GS2196-U-N1,Yearling,0,4/30/2018,5/22/2018,5/22/2018,1
After,18-SV-14GS2197-U-N1,Yearling,0,4/13/2018,5/3/2018,5/6/2018,0
After,18-SV-14NV4171-U-N1,Adult,1,5/1/2018,5/7/2018,5/7/2018,1
After,18-SV-17SVNB100-U-N1,Adult,0,5/5/2018,5/24/2018,5/24/2018,1
After,18-SV-Murron-U-N1,Adult,0,4/25/2018,4/28/2018,5/1/2018,0
Before,2007-L-02-07-U-N1,Adult,1,4/30/2007,5/4/2007,5/4/2007,1
Before,2007-L-05-07-U-N1,Adult,0,4/24/2007,5/5/2007,5/7/2007,0
Before,2007-L-08-07-U-N1,Adult,0,4/17/2007,4/17/2007,4/26/2007,0
Before,2007-L-08-07-U-N2,Adult,0,5/14/2007,5/23/2007,6/1/2007,0
Before,2007-L-09-07-U-N1,Adult,0,5/7/2007,5/22/2007,5/27/2007,0
Before,2007-L-10-07-U-N1,Adult,0,5/9/2007,6/5/2007,6/5/2007,1
Before,2007-L-14-07-U-N1,Adult,1,4/20/2007,5/14/2007,5/14/2007,1
Before,2007-L-16-07-U-N1,Yearling,1,4/25/2007,4/30/2007,5/7/2007,0
Before,2007-L-17-07-U-N1,Adult,1,4/26/2007,5/23/2007,5/23/2007,1
Before,2007-L-18-07-U-N1,Yearling,0,4/23/2007,4/27/2007,5/3/2007,0
Before,2007-L-22-07-U-N1,Adult,0,5/1/2007,5/27/2007,5/27/2007,1
Before,2007-L-35-07-U-N1,Yearling,0,5/1/2007,5/17/2007,5/17/2007,1
Before,2007-L-51-07-U-N1,Yearling,1,4/30/2007,5/16/2007,5/26/2007,0
Before,2008-L-01-07-U-N1,Adult,1,4/28/2008,5/7/2008,5/9/2008,0
Before,2008-L-08-07-U-N1,Adult,0,4/16/2008,4/16/2008,4/23/2008,0
Before,2008-L-10-07-U-N1,Adult,0,4/18/2008,4/25/2008,5/2/2008,0
Before,2008-L-106-08-U-N1,Yearling,1,4/29/2008,5/7/2008,5/11/2008,0
Before,2008-L-108-08-U-N1,Adult,0,4/19/2008,4/20/2009,4/23/2008,0
Before,2008-L-116-08-U-N1,Yearling,0,4/26/2008,5/15/2008,5/15/2008,1
Before,2008-L-121-08-U-N1,Adult,0,4/25/2008,5/21/2008,5/21/2008,1
Before,2008-L-123-08-U-N1,Yearling,1,4/27/2008,5/19/2008,5/19/2008,1
Before,2008-L-14-07-U-N1,Adult,1,4/11/2008,4/11/2008,4/22/2008,0
Before,2008-L-17-07-U-N1,Adult,1,4/27/2008,5/27/2008,5/27/2008,1
Before,2008-L-18-07-U-N1,Adult,0,4/21/2008,4/25/2008,5/5/2008,0
Before,2008-L-20-07-U-N1,Adult,1,4/5/2008,4/15/2008,4/25/2008,0
Before,2008-L-21-07-U-N1,Adult,0,5/8/2008,5/14/2008,5/14/2008,1
Before,2008-L-35-07-U-N1,Adult,0,4/14/2008,5/16/2008,5/16/2008,1
Before,2008-L-49-07-U-N1,Adult,1,4/17/2008,4/17/2008,4/28/2008,0
Before,2008-L-57-07-U-N1,Adult,0,4/18/2008,4/18/2008,4/25/2008,0
Before,2008-L-57-07-U-N2,Adult,0,5/2/2008,5/2/2008,5/8/2008,0
Before,2008-L-60-07-U-N1,Adult,0,6/3/2008,6/18/2008,6/18/2008,1
Before,2008-L-61-07-U-N1,Adult,1,4/11/2008,5/2/2008,5/2/2008,1
Before,2008-L-62-07-U-N1,Yearling,0,4/25/2008,5/2/2008,5/8/2008,0
Before,2008-L-63-07-U-N1,Adult,1,4/17/2008,5/17/2008,5/17/2008,1
Before,2008-L-64-07-U-N1,Adult,1,4/5/2008,5/6/2008,5/6/2008,1
Before,2008-L-69-07-U-N1,Yearling,1,4/24/2008,4/24/2008,4/28/2008,0
Before,2008-L-74-07-U-N1,Adult,0,4/18/2008,5/16/2008,5/16/2008,1
Before,2008-L-82-07-U-N1,Adult,0,5/2/2008,5/23/2008,5/23/2008,1
Before,2008-L-89-08-U-N1,Yearling,0,4/12/2008,5/7/2008,5/7/2008,1
Before,2008-L-90-08-U-N1,Adult,1,4/4/2008,5/5/2008,5/5/2008,1
Before,2008-L-92-08-U-N1,Adult,1,4/9/2008,4/30/2008,5/4/2008,0
Before,2008-L-93-08-U-N1,Adult,1,4/15/2008,4/15/2008,4/24/2008,0
Before,2008-L-95-08-U-N1,Adult,0,4/16/2008,4/23/2008,5/5/2008,0
Before,2008-L-98-08-U-N1,Adult,1,4/17/2008,5/17/2008,5/17/2008,1
Before,2008-L-99-08-U-N1,Adult,1,4/28/2008,4/28/2008,4/30/2008,0
