Dataset,nest.ID,used,burned,hcov,vcov,hcov_10,vcov_10,mxheight,mxwidth,perwidth,percPG_10,percAG_10,percPF_10,percAF_10,percRC_10,percL_10,percBG_10,percRO_10,percShr_10,SageH_0,SageH_10,OShrH_0,OShrH_10,PgH_0,PgH_10,PfH_0,PfH_10,RgH_0,RgH_10,TaSage_5,TaSage_10,AllDwSage_5,AllDwSage_10,ALLSage_5,ALLSage_10,NonSageShr_5,NonSageShr_10,ALLShrs_5,ALLShr_10,PJ_5,PJ_10,Dead_5,Dead_10,Rabbitbrush_5,Rabbitbrush_10,Bitterbrush_5,Bitterbrush_10
BurnedvBurned,15-SV-14NV2921-U-N1,1,1,59.33,16,39.66666667,14,59,226,158,8.5,17,2.5,5.166666667,13.83333333,32.16666667,7.833333333,5.166666667,14.33333333,95,23.75,0,16.75,20,13.25,0,5.75,13,11.5,21.6,10.8,0,0,21.6,10.8,0,1.9,21.6,12.7,0,0,0,1.17,0,1.9,0,0
BurnedvBurned,15-SV-14NV3589-U-N1,1,1,83.33,72,64.11111111,37.33333333,115,232,161,14.33333333,11.16666667,2.5,8.5,7.833333333,5.166666667,58,17.16666667,2.5,0,6.5,232,58,18,17.5,12,5.25,26,13.25,0,0,3.6,2.57,3.6,2.57,12.67,6.33,16.27,8.9,0,0,1.4,0.7,0,0,10.86666667,5.433333333
BurnedvBurned,15-SV-FID003-I-N,0,1,57.33,0,56.66666667,0,58,42,17,7.833333333,17,14.5,2.5,20.33333333,14.5,5.166666667,66.33333333,5.166666667,0,0,0,12.25,58,32,7,10.75,49,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BurnedvBurned,15-SV-FID004-I-N,0,1,94,76,68.22222222,38,89,148,139,11.16666667,5.166666667,23,2.5,14.5,7.833333333,19.66666667,40.5,2.5,89,45.75,0,7.25,37,20.75,11,18.25,34,14.5,16.73,14.23,0,0,16.73,14.23,3.4,2,20.13,16.23,0,0,4.53,2.97,3.4,2,0,0
BurnedvBurned,15-SV-FID012-I-N,0,1,78,0,67.44444444,0,45,64,43,11.16666667,26.33333333,2.5,5.166666667,23,5.166666667,22.66666667,2.5,5.166666667,0,0,45,21.75,17,16.75,2,3.75,26,19.75,0,0,9.67,6.37,9.67,6.37,0,0,9.67,6.37,0,0,0.67,2.13,0,0,0,0
BurnedvBurned,15-SV-FID076-I-N,0,1,89.33,28,56.44444444,14,42,123,75,2.5,8.5,2.5,2.5,2.5,7.833333333,32.83333333,68.83333333,2.5,42,10.5,48,12,0,0,30,16.75,7,7,6.6,3.3,0,0,6.6,3.3,3.13,1.57,9.73,4.87,0,0,0,0,0,0,0,0
BurnedvBurned,16-SV-14NV2587-U-N1,1,1,59.33,44,49.88888889,22,49,105,80,14.33333333,8.5,5.166666667,5.166666667,23,17,25.33333333,28.83333333,2.5,0,0,41,10.25,9,17.5,0,5.25,1,10.75,0,0,0,0,0,0,8.333333333,4.166666667,8.333333333,4.166666667,0,0,0,0,8.333333333,4.166666667,0,0
BurnedvBurned,16-SV-14NV2670-IR-N1,0,1,96,80,62.75,20,68,236,146,2.5,20.33333333,7.833333333,2.5,23,10.5,8.5,31.33333333,2.5,0,0,68,60,28,25,0,1.25,12,5.25,0,0,0,0,0,0,10.33333333,5.166666667,10.33333333,5.166666667,0,0,0,0.533333333,0,0,10.33333333,5.166666667
BurnedvBurned,16-SV-14NV2921-U-N1,1,1,99.33,88,77.22222222,20.66666667,57,80,45,8.5,5.166666667,2.5,5.166666667,5.166666667,2.5,14.33333333,69.66666667,2.5,57,35.5,54,13.5,9,21.25,0,4,4,12,9.066666667,8.033333333,0,0,9.066666667,8.033333333,2.933333333,1.466666667,12,9.5,0,0,0,0,0,0,2.933333333,1.466666667
BurnedvBurned,16-SV-14NV2973-IR-N1,0,1,92.67,84,81.77777778,18,78,112,102,14.33333333,34.5,2.5,2.5,11.16666667,2.5,2.5,70.5,2.5,0,0,78,19.5,67,36.75,0,10.5,45,24.5,0,0,0,0,0,0,0,0,0,0,0,0,10.86666667,5.433333333,0,0,0,0
BurnedvBurned,16-SV-14NV2973-U-N1,1,1,96.67,88,74.33333333,28.66666667,73,93,90,2.5,5.166666667,5.166666667,2.5,5.166666667,5.166666667,48,8.5,42,73,33.25,0,24.75,37,15.5,0,1.5,8,5.25,11.53333333,8.233333333,5.666666667,5.233333333,17.2,13.46666667,0,3.766666667,17.2,17.23333333,0,0,5.866666667,5.833333333,0,3.766666667,0,0
BurnedvBurned,16-SV-14NV3518-U-N1,1,1,82.67,60,62.55555556,10,51,55,43,14.5,17,2.5,2.5,22.66666667,2.5,5.166666667,60.5,2.5,0,0,0,0,51,24.5,17,15.25,15,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BurnedvBurned,16-SV-14NV3589-U-N1,1,1,100,100,91,48.66666667,92,214,203,2.5,5.166666667,5.166666667,2.5,28.66666667,17.16666667,8.5,23,22.66666667,0,6.5,92,23,76,69.5,0,8,43,44.5,0,0,0,0.933333333,0,0.933333333,15.66666667,11.96666667,15.66666667,12.9,0,0,0,0,0,0,15.66666667,11.96666667
BurnedvBurned,16-SV-14NV3632-IR-N1,0,1,90.67,100,83.77777778,22.66666667,41,86,80,2.5,2.5,7.833333333,2.5,11.16666667,2.5,8.5,62.16666667,22.66666667,41,10.25,0,22,34,21.5,0,27.5,20,14.25,0,0,0,0,0,0,6.733333333,5.7,6.733333333,5.7,0,0,2.733333333,2.7,6.733333333,4.366666667,0,0
BurnedvBurned,16-SV-14NV3763-U-N1,1,1,98.67,96,68.77777778,16.66666667,97,216,210,5.166666667,2.5,2.5,2.5,2.5,5.166666667,17,69.66666667,7.833333333,97,43.25,0,1,70,40.5,0,0,50,22,0,6,0,0,0,6,0,1.833333333,0,7.833333333,0,0,1.133333333,1.366666667,0,0,0,1.833333333
BurnedvBurned,16-SV-14NV3858-IR-N1,0,1,92.67,68,67.77777778,22.66666667,50,126,76,2.5,7.833333333,2.5,2.5,13.83333333,5.166666667,35.5,2.5,42,50,30.5,0,0,19,16.5,0,0,9,7.5,18.06666667,10.13333333,0,6.433333333,18.06666667,16.56666667,0,0,18.06666667,16.56666667,0,0,0,0.733333333,0,0,0,0
BurnedvBurned,16-SV-14NV3866-U-N1,1,1,94,100,74.77777778,67.33333333,102,176,141,23,2.5,17,2.5,11.16666667,5.166666667,28.66666667,8.5,8.5,0,17.75,102,47.5,17,14.5,4,9,6,5,0,1.066666667,2.666666667,4,2.666666667,5.066666667,13.66666667,11.46666667,16.33333333,16.53333333,0,0,0,0.533333333,2,1.8,0,0
BurnedvBurned,16-SV-14NV3870-IR-N1,0,1,92.67,92,64,16,66,77,71,2.5,11.16666667,2.5,5.166666667,13.83333333,2.5,50.33333333,31.33333333,2.5,66,16.5,0,12.25,63,24,0,0,10,8.25,13.66666667,8.6,0,0,13.66666667,8.6,0,0,13.66666667,8.6,0,0,1.933333333,0.966666667,0,0,0,0
BurnedvBurned,16-SV-14NV4179-IR-N1,0,1,76.67,72,64.22222222,12,39,84,63,17.16666667,2.5,5.166666667,2.5,17.16666667,7.833333333,8.5,40.5,2.5,39,9.75,0,0.75,17,10.75,8,9.75,8,9.5,5.4,2.7,0,0,5.4,2.7,3.133333333,1.566666667,8.533333333,4.266666667,0,0,2.933333333,1.466666667,0,0,0,0
BurnedvBurned,16-SV-14NV4179-U-N1,1,1,100,100,84.77777778,68.66666667,64,195,127,8.5,5.166666667,26.16666667,2.5,53.83333333,2.5,2.5,8.5,42,0,0,64,57.75,31,28.75,19,23,36,22.75,0,0,0,0,0,0,24.4,20.1,24.4,20.1,0,0,0,2.066666667,22.33333333,11.16666667,2.066666667,1.033333333
BurnedvBurned,16-SV-14SO484-IR-N1,0,1,96,88,65.88888889,14.66666667,39,92,90,7.833333333,7.833333333,22.66666667,2.5,13.83333333,2.5,25.33333333,44.66666667,2.5,39,25.5,18,9,16,13.5,0,3.5,4,4.25,0,0,36,26.13333333,36,26.13333333,0,0,36,26.13333333,0,0,3.066666667,4.733333333,0,0,0,0
