Age (days),AQF1.Slow.Starved,AQF1.Fast.Starved,Wild.Fast.Starved,Wild.Slow.Starved,AQF1.Slow.Fed,AQF1.Fast.Fed,Wild.Fast.Fed,Wild.Slow.Fed
7,83.86,119.14,115.5,107.81,83.86,119.14,115.5,107.81
7,88.49,112.06,111.92,102.13,88.49,112.06,111.92,102.13
7,86.59,112.96,98.2,84.4,86.59,112.96,98.2,84.4
7,98.06,111.79,116.58,107.29,98.06,111.79,116.58,107.29
7,99.52,96.88,106.37,98.51,99.52,96.88,106.37,98.51
7,102.68,109.86,111.4,94.62,102.68,109.86,111.4,94.62
7,108.28,116.54,111.34,87.17,108.28,116.54,111.34,87.17
7,79.61,123.94,105.53,102.11,79.61,123.94,105.53,102.11
7,87.72,80.34,116.49,102.9,87.72,80.34,116.49,102.9
7,71.26,117.99,127.11,95.05,71.26,117.99,127.11,95.05
7,96.82,112.38,116.84,95.78,96.82,112.38,116.84,95.78
7,102.69,86.1,116.07,101.13,102.69,86.1,116.07,101.13
7,96.04,97.38,115.86,106,96.04,97.38,115.86,106
7,92.78,111.34,117.35,99.5,92.78,111.34,117.35,99.5
7,93.06,107.02,103.62,95.04,93.06,107.02,103.62,95.04
7,92.86,88.48,112.43,101.99,92.86,88.48,112.43,101.99
7,88.83,109.72,115.87,107.68,88.83,109.72,115.87,107.68
7,100.77,94.36,107.76,104.18,100.77,94.36,107.76,104.18
7,86.57,101.58,115.45,89.39,86.57,101.58,115.45,89.39
7,98.09,94.16,101.93,79.91,98.09,94.16,101.93,79.91
7,92.18,82.63,128.72,98.82,92.18,82.63,128.72,98.82
7,82.56,78.97,122.15,95.84,82.56,78.97,122.15,95.84
7,88.4,91.56,102.51,110.29,88.4,91.56,102.51,110.29
7,106.28,101.87,110.37,90.11,106.28,101.87,110.37,90.11
7,102.78,108.31,116.57,89.36,102.78,108.31,116.57,89.36
7,82.36,98.44,109.31,108.99,82.36,98.44,109.31,108.99
7,96.41,117.89,99.39,93.54,96.41,117.89,99.39,93.54
7,67.08,99.72,95.24,101.64,67.08,99.72,95.24,101.64
7,92.51,98.34,102.63,94.92,92.51,98.34,102.63,94.92
7,80.37,95.38,112,97.85,80.37,95.38,112,97.85
7,90.62,100.16,132.45,90.37,90.62,100.16,132.45,90.37
7,79.51,96.17,104.08,98.57,79.51,96.17,104.08,98.57
7,89.67,97.26,94.79,88.72,89.67,97.26,94.79,88.72
7,97.24,87.49,93.36,82.77,97.24,87.49,93.36,82.77
7,86.65,109.99,119,101.06,86.65,109.99,119,101.06
7,90.42,116.44,98.88,88.61,90.42,116.44,98.88,88.61
7,72.56,107.31,106.29,83.23,72.56,107.31,106.29,83.23
7,85.87,106.9,98.42,85.68,85.87,106.9,98.42,85.68
7,77.52,92.46,102.01,88.06,77.52,92.46,102.01,88.06
7,78.48,98.63,109.55,89.52,78.48,98.63,109.55,89.52
7,91.93,101.17,111.53,90.72,91.93,101.17,111.53,90.72
7,84.97,99.09,123.71,89.62,84.97,99.09,123.71,89.62
7,95.21,87.1,102.11,86.97,95.21,87.1,102.11,86.97
7,98.6,125.95,88.09,99.54,98.6,125.95,88.09,99.54
7,88.75,100.57,103.08,99.38,88.75,100.57,103.08,99.38
7,75.11,80.45,102.95,94.48,75.11,80.45,102.95,94.48
7,91.47,98.03,104.24,92.33,91.47,98.03,104.24,92.33
7,91.68,113.81,106.9,97.33,91.68,113.81,106.9,97.33
7,88.34,106.24,100.95,96.13,88.34,106.24,100.95,96.13
7,86.33,97.02,113.9,74.96,86.33,97.02,113.9,74.96
10,109.36,92.78,117.73,88.71,90.86,135.29,180.72,103.06
10,98.91,114.22,90.12,93.9,88.43,142.6,133.42,104.45
10,102.4,109.14,132.81,87.82,107.92,149.03,96.7,109.77
10,90.87,98.1,111.62,106.28,135.15,152.39,157.23,157.19
10,119.27,120.42,112.38,106.71,150.73,142.71,160.93,158.44
10,87.44,120.66,111.39,96.99,112.03,105.95,154.48,138.58
10,94.19,119.22,112.88,90.85,138.97,136.09,129,93.28
10,91.03,117.3,119.15,87.59,164.72,134.24,187.26,139.97
10,103.53,105.84,115.74,90.83,180.2,129.13,154.17,109.1
10,99.98,112.17,131.7,79.62,144.73,125.88,187.58,97.83
10,92.72,117.84,133.17,96.01,117.75,167.68,182.08,98.44
10,82.12,121.13,119.94,100.95,129.18,167.26,165.29,104.52
10,97.17,114.95,111.23,98.37,105.32,150.92,106.98,168.52
10,83.72,100.94,119.57,85.83,84.35,173.06,131.83,100.31
10,92.3,112.74,135.85,85.3,92.25,116.8,149.73,203.95
10,81.24,103.6,122.05,99.38,87.34,112.97,146.6,191.25
10,103.02,131.97,111.09,102.2,107.82,146.22,136.04,170.27
10,92.06,113.16,124.63,95.9,148.27,115.26,149.47,99.69
10,87.35,113.22,118.2,95.66,126.66,160.62,139.67,92.52
10,89.94,105.12,117.86,104.75,83.5,113.8,135.37,146.94
10,101.38,106.79,104.76,91.46,92.58,149.14,112.7,73.58
10,95.63,115.56,127.3,95.14,153.69,140.05,186.58,159.47
10,103.66,105.43,113.85,114.5,75.04,154.86,154.11,116.33
10,85.14,109.87,116.69,110.92,100.85,132.39,181.1,139.61
10,93.61,107.85,122.53,90.66,133.31,144.06,140.17,129.46
10,80.89,100.75,119.96,111.49,121.89,160.54,121.54,127.89
10,84.26,113.05,102.88,84.25,121.41,164.35,114.86,97.15
10,108.68,123.76,128.12,108.25,151.24,124.01,166.1,135.24
10,99.04,120.95,116.67,99.98,121.08,117.72,193.73,132.71
10,95.68,131.56,105.65,105.07,138.11,139.2,143.16,122.8
10,92.63,129.86,114.2,98.35,109.23,164.36,164.04,145.3
10,97.65,141.01,115.19,104.22,122.53,166.38,146.27,99.7
10,88,134.77,107.87,91.53,142.58,156.88,131.76,120.28
10,97.29,107.57,111.57,111.65,117.73,141.38,141.38,93.03
10,96.3,109.35,118.78,88.1,108.18,134.79,177.42,118.03
10,102.09,111.95,114.84,80.35,107.99,126.73,156.86,97.33
10,87.83,137.23,116.73,87.27,128.1,178.94,163.61,116.96
10,81.72,104.34,107.37,90.18,141.54,157.19,154.36,109.87
10,97.95,123.41,113.07,101.36,101.03,169,114.42,151
10,83.53,115.45,114.04,94.52,152.48,167.84,170.86,94.87
10,115.43,114.28,109.86,94.8,130.81,152.73,171.64,157.15
10,87.47,119.47,131.81,117.93,133.44,210.29,160.85,106.56
10,93.87,96.38,102.71,105.52,79.63,119.34,102.93,145.38
10,99.21,112.97,115.36,95.73,92.82,151.14,136.81,150.96
10,112.73,121.88,121.15,106.29,92.63,113.87,173.82,105.56
10,88.61,137.82,109.79,72.69,118.65,169.94,136.79,105.94
10,98.77,84.54,119.96,109.02,149.28,159.99,126.5,96.2
10,101.19,134.48,116.47,114.67,149.54,184.62,133.4,124.9
10,83.34,118.1,107.85,91.51,153.88,142.65,143.37,129.27
10,99.49,124.22,105.9,88.86,87.56,122.43,100.7,85.25
14,103.57,104.78,102.56,87.6,136.36,138.88,252.2,220.85
14,108.54,85.4,109.6,108.9,122.46,185.47,206.21,149.8
14,101.54,116.07,109.51,98.04,112.14,156.76,247.48,136.81
14,113.87,104.13,126.86,98.5,156.08,128.76,279.9,284.27
14,102.99,95.13,104.16,94.57,172.45,195.94,149.78,300.85
14,88.68,113.08,108.57,108.08,236.97,195.7,223.53,129.72
14,91.59,118.95,107.6,98.89,161.96,270.38,178.51,236.89
14,81.44,112.66,102.92,105.42,174.1,219.51,255.21,258.35
14,90.94,109.83,108.16,98.47,218.06,144.04,236.43,297.02
14,105.62,119.15,111.97,96.9,145.07,128.4,225.56,121.16
14,107.87,111.46,115.93,83.55,207.95,155.26,261.19,120.08
14,91.98,105.43,133.84,103.18,186.55,100.38,243.46,125.89
14,92.4,76.84,106.25,117.82,249.01,250.88,102.97,119.81
14,94.77,94.7,116.77,87,239.28,125.27,251.45,160.1
