"","x"
"1",2.67539791394648
"2",3.07471126583195
"3",3.21393612897681
"4",3.76519178048963
"5",3.6645335767374
"6",3.92844818805858
"7",3.40514983380138
"8",4.66684493461971
"9",4.65364200547954
"10",3.82271669265342
"11",4.66581899950937
"12",5.72368183086633
"13",5.79966159089363
"14",3.75641053869062
"15",2.64218514750262
"16",3.18465621542422
"17",4.14383463722146
"18",4.39558689181251
"19",5.77065814723197
"20",4.63316277334085
"21",4.533765523185
"22",5.33390794131963
"23",4.47476978978687
"24",4.79440832845934
"25",4.80532446078651
"26",5.70134263433475
"27",3.3122420104414
"28",7.64443938594353
"29",8.28482775673617
"30",6.76411465139138
