"Fish_ID","TL","Date_age","Adj_date","days","age_corr"
"B004",36.70,7-12-2012 00:00:00,7-3-2012 00:00:00,275,1.75
"B009",39.00,7-12-2012 00:00:00,7-3-2012 00:00:00,275,1.75
"B010",45.00,7-12-2012 00:00:00,7-3-2012 00:00:00,275,1.75
"B013",60.00,8-12-2012 00:00:00,8-3-2012 00:00:00,275,4.75
"B014",62.10,8-12-2012 00:00:00,8-3-2012 00:00:00,275,4.75
"B017",68.50,8-12-2012 00:00:00,8-3-2012 00:00:00,275,5.75
"B018",66.00,8-12-2012 00:00:00,8-3-2012 00:00:00,275,5.75
"B019",71.50,8-12-2012 00:00:00,8-3-2012 00:00:00,275,6.75
"B020",53.80,8-12-2012 00:00:00,8-3-2012 00:00:00,275,3.75
"B021",39.50,8-12-2012 00:00:00,8-3-2012 00:00:00,275,1.75
"B022",68.00,8-12-2012 00:00:00,8-3-2012 00:00:00,275,5.75
"B023",64.00,9-12-2012 00:00:00,9-3-2012 00:00:00,275,5.75
"B025",60.50,9-12-2012 00:00:00,9-3-2012 00:00:00,275,4.75
"B027",58.60,15-12-2012 00:00:00,15-3-2012 00:00:00,275,4.75
"B029",52.10,15-12-2012 00:00:00,15-3-2012 00:00:00,275,4.75
"B030",49.50,15-12-2012 00:00:00,15-3-2012 00:00:00,275,3.75
"B035",40.40,15-12-2012 00:00:00,15-3-2012 00:00:00,275,2.75
"B041",52.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,2.75
"B042",42.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,2.75
"B043",75.50,23-6-2012 00:00:00,23-9-2011 00:00:00,274,6.75
"B044",41.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,3.75
"B045",51.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,2.75
"B046",47.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,2.75
"B048",38.80,23-6-2012 00:00:00,23-9-2011 00:00:00,274,1.75
"B050",55.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,3.75
"B051",45.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,3.75
"B052",54.50,23-6-2012 00:00:00,23-9-2011 00:00:00,274,3.75
"B055",50.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,2.75
"B056",59.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,3.75
"B058",43.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,1.75
"B060",56.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,3.75
"B061",62.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,3.75
"B062",48.00,23-6-2012 00:00:00,23-9-2011 00:00:00,274,2.75
"B067",53.30,24-6-2012 00:00:00,24-9-2011 00:00:00,274,2.75
"B068",61.40,24-6-2012 00:00:00,24-9-2011 00:00:00,274,4.75
"B069",58.00,24-6-2012 00:00:00,24-9-2011 00:00:00,274,4.75
"B072",71.50,24-6-2012 00:00:00,24-9-2011 00:00:00,274,6.75
"B073",47.50,24-6-2012 00:00:00,24-9-2011 00:00:00,274,2.75
"B074",42.50,24-6-2012 00:00:00,24-9-2011 00:00:00,274,2.75
"B075",47.90,24-6-2012 00:00:00,24-9-2011 00:00:00,274,3.75
"B076",58.90,24-6-2012 00:00:00,24-9-2011 00:00:00,274,4.75
"B077",48.00,24-6-2012 00:00:00,24-9-2011 00:00:00,274,3.75
"B078",51.00,24-6-2012 00:00:00,24-9-2011 00:00:00,274,3.75
"B079",39.00,24-6-2012 00:00:00,24-9-2011 00:00:00,274,2.75
"B082",37.50,24-6-2012 00:00:00,24-9-2011 00:00:00,274,2.75
"B084",48.00,25-1-2012 00:00:00,25-4-2011 00:00:00,275,2.75
"B086",29.00,23-1-2012 00:00:00,23-4-2011 00:00:00,275,1.75
"B088",36.50,23-1-2012 00:00:00,23-4-2011 00:00:00,275,1.75
"B089",36.00,23-1-2012 00:00:00,23-4-2011 00:00:00,275,1.75
"B093",71.00,5-2-2012 00:00:00,5-5-2011 00:00:00,276,6.75
"B094",48.50,5-2-2012 00:00:00,5-5-2011 00:00:00,276,2.75
"B095",53.50,5-2-2012 00:00:00,5-5-2011 00:00:00,276,2.75
"B097",56.00,5-2-2012 00:00:00,5-5-2011 00:00:00,276,2.75
"B101",61.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,3.75
"B104",48.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,2.75
"B105",44.00,7-2-2012 00:00:00,7-5-2011 00:00:00,276,2.75
