"treatment","leaf_damage"
"ladybug",21
"ladybug",26
"ladybug",33
"ladybug",19
"ladybug",25
"ladybug",26
"ladybug",29
"ladybug",24
"ladybug",35
"ladybug",24
"ladybug",27
"ladybug",30
"ladybug",23
"ladybug",20
"ladybug",34
"ladybug",13
"ladybug",29
"ladybug",25
"ladybug",30
"ladybug",27
"ladybug",35
"ladybug",19
"ladybug",33
"ladybug",35
"ladybug",25
"wasp",25
"wasp",43
"wasp",36
"wasp",45
"wasp",42
"wasp",44
"wasp",42
"wasp",46
"wasp",38
"wasp",35
"wasp",36
"wasp",30
"wasp",35
"wasp",37
"wasp",39
"wasp",38
"wasp",28
"wasp",35
"wasp",51
"wasp",44
"wasp",52
"wasp",38
"wasp",39
"wasp",39
"wasp",33
"wasp",62
"wasp",73
"wasp",63
"wasp",70
"wasp",61
"wasp",57
"wasp",64
"wasp",69
"wasp",70
"wasp",72
"wasp",58
"wasp",73
"wasp",62
"wasp",66
"wasp",67
"wasp",62
"wasp",57
"wasp",63
"wasp",65
"wasp",61
"wasp",61
"wasp",66
"wasp",64
"wasp",67
"wasp",65
