X,Species,Development,Agriculture,Energy & Mining,Transportation,Hunting & Trade,Logging,Fishing,Human disturbance,Fire,Dams,Invasive species &d Disease,Pollution,Geological Events,Climate change & severe weather,Other,sum,Family,Order,risk,iucn,NTVUENCR,NTVUENCREWEX,CLASS
52,Agama montana,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,Agamidae,Squamata,1,VU,0,0,REPTILIA
84,Bronchocela shenlong,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Agamidae,Squamata,0,NT,0,0,REPTILIA
86,Bronchocela vietnamensis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,VU,0,0,REPTILIA
101,Calotes liocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Agamidae,Squamata,1,EN,1,1,REPTILIA
118,Ceratophora tennentii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Agamidae,Squamata,1,EN,1,1,REPTILIA
123,Cophotis dumbara,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Agamidae,Squamata,1,CR,1,1,REPTILIA
142,Ctenophorus mirrityana,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,Agamidae,Squamata,0,NT,0,0,REPTILIA
143,Ctenophorus nguyarna,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,VU,0,0,REPTILIA
177,Diporiphora vescus,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,3,Agamidae,Squamata,1,VU,0,0,REPTILIA
202,Draco mindanensis,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Agamidae,Squamata,1,VU,0,0,REPTILIA
243,Hydrosaurus pustulatus,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,Agamidae,Squamata,1,VU,0,0,REPTILIA
254,Hypsilurus macrolepis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Agamidae,Squamata,0,NT,0,0,REPTILIA
305,Leiolepis boehmei,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Agamidae,Squamata,1,VU,0,0,REPTILIA
306,Leiolepis guentherpetersi,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Agamidae,Squamata,1,EN,1,1,REPTILIA
308,Leiolepis ngovantrii,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,VU,0,0,REPTILIA
320,Lyriocephalus scutatus,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,6,Agamidae,Squamata,0,NT,0,0,REPTILIA
349,Phrynocephalus golubewii,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,CR,1,1,REPTILIA
358,Phrynocephalus persicus,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,VU,0,0,REPTILIA
364,Phrynocephalus rossikowi,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,Agamidae,Squamata,1,EN,1,1,REPTILIA
367,Phrynocephalus strauchi,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,VU,0,0,REPTILIA
388,Pseudocalotes flavigula,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Agamidae,Squamata,1,CR,1,1,REPTILIA
396,Pseudocalotes poilani,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,EN,1,1,REPTILIA
444,Trapelus savignii,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,6,Agamidae,Squamata,1,VU,0,0,REPTILIA
449,Tympanocryptis condaminensis,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,Agamidae,Squamata,1,EN,1,1,REPTILIA
457,Tympanocryptis pinguicolla,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,6,Agamidae,Squamata,1,EN,1,1,REPTILIA
461,Tympanocryptis wilsoni,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Agamidae,Squamata,1,EN,1,1,REPTILIA
479,Alopoglossus lehmanni,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Alopoglossidae,Squamata,1,CR,1,1,REPTILIA
484,Ptychoglossus danieli,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Alopoglossidae,Squamata,1,CR,1,1,REPTILIA
485,Ptychoglossus eurylepis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Alopoglossidae,Squamata,0,NT,0,0,REPTILIA
520,Amphisbaena carlgansi,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,0,NT,0,0,REPTILIA
523,Amphisbaena caudalis,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,EN,1,1,REPTILIA
524,Amphisbaena cayemite,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,CR,1,1,REPTILIA
533,Amphisbaena fenestrata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,Amphisbaenidae,Squamata,1,EN,1,1,REPTILIA
537,Amphisbaena gonavensis,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,CR,1,1,REPTILIA
544,Amphisbaena hyporissor,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Amphisbaenidae,Squamata,1,EN,1,1,REPTILIA
548,Amphisbaena innocens,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,VU,0,0,REPTILIA
552,Amphisbaena leali,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,CR,1,1,REPTILIA
604,Amphisbaena xera,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,0,NT,0,0,REPTILIA
618,Cynisca gansi,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,Amphisbaenidae,Squamata,1,CR,1,1,REPTILIA
621,Cynisca kigomensis,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,Amphisbaenidae,Squamata,1,CR,1,1,REPTILIA
