LTER,Site,Species,MSE,b,coef_int,coef_slope,Pr_int,Pr_slope,logLik,length,Y1,Y2,Feeding,Habitat,Pollinator,Order
Arctic,aquatic,RHYAC,0.953678415,-0.050489606,-0.445136228,0.993830632,0.395873463,0.2913426,4.677712213,10,1984,1998,omnivore,aquatic,n,Trichoptera
Arctic,aquatic,BRACHY,0.708072166,-0.118154783,0.73958061,-1.640261379,0.106240843,0.052974223,5.75904368,10,1984,1998,omnivore,aquatic,n,Trichoptera
Arctic,aquatic,NATARSIA,0.295096359,-0.173637876,-1.058944074,2.328642353,0.002991168,0.000842455,9.170175706,10,1984,1998,omnivore,aquatic,n,Diptera
Arctic,aquatic,ORTHO,0.40520662,0.282166808,1.041814364,-2.342874495,0.043213323,0.01400779,8.665647931,10,1984,1998,omnivore,aquatic,n,Diptera
Arctic,aquatic,OTHCHIR,0.664182894,0.002215333,-0.813942546,1.795118697,0.096051261,0.046464398,6.210878828,10,1984,1998,varies,aquatic,n,Diptera
Arctic,aquatic,CHIPUPA,0.550712497,0.121971879,-0.916118581,2.006410698,0.068146678,0.030009403,7.159420193,10,1984,1998,varies,aquatic,n,Diptera
Arctic,aquatic,BLACK,0.763670891,-0.310671034,0.640681164,-1.317110713,0.121268982,0.082043695,5.142765518,10,1984,1998,parasite,aquatic,n,Diptera
Arctic,aquatic,BLKPUPA,0.735190082,-0.06641205,-0.726606407,1.624709666,0.129841783,0.066059974,5.692612283,10,1984,1998,parasite,aquatic,n,Diptera
Arctic,aquatic,BAETIS,0.909183245,0.17454408,0.55151442,-1.23779036,0.373973712,0.260306981,5.243735506,10,1984,1998,herbivore,aquatic,n,Ephemeroptera
Arctic,aquatic,BAETSP3,0.466683898,0.696487933,-0.950678451,2.482168519,0.276726851,0.07807639,8.945268021,10,1984,1998,herbivore,aquatic,n,Ephemeroptera
Arctic,aquatic,EPHEM,0.48132193,-0.057604739,-0.949413455,2.109310876,0.026740722,0.009469753,7.401298312,10,1984,1998,herbivore,aquatic,n,Ephemeroptera
Arctic,aquatic,CINYG,1.275223727,0.717391965,-0.806028263,1.434017096,0.581228247,0.510175998,4.973693376,10,1984,1998,herbivore,aquatic,n,Ephemeroptera
Arctic,aquatic,NEMOURA,0.878290687,0.651104152,-0.684578276,1.58025701,0.524954782,0.352601973,6.311522921,10,1984,1998,herbivore,aquatic,n,Plecoptera
Arctic,aquatic,TIPULA,0.261924343,0.868418654,-0.595686482,1.549419677,0.551615708,0.204157938,11.68651267,10,1984,1998,herbivore,aquatic,n,Diptera
Baltimore,mosquito,cxpi,0.013263117,-0.965781831,-0.982826946,2.666294725,0.000487403,0.000253984,5.835236882,5,2011,2015,parasite,terrestrial ,n,Diptera
Baltimore,mosquito,cxre,2.112072934,0.999993481,0.399098535,0.772138089,0.999271108,0.845321724,1.744738887,5,2011,2015,parasite,terrestrial ,n,Diptera
Baltimore,mosquito,cxsa,0.270969563,-0.794629684,0.24529488,-0.368664891,0.454543166,0.593989169,2.292388605,5,2011,2015,parasite,terrestrial ,n,Diptera
Baltimore,mosquito,cxte,2.152819434,0.999994365,0.554832254,0.344995122,0.999066775,0.930997064,1.716077537,5,2011,2015,parasite,terrestrial ,n,Diptera
Baltimore,mosquito,aeja,2.067973793,0.999996643,0.940989324,0.011372885,0.998753585,0.997674548,1.77639455,5,2011,2015,parasite,terrestrial ,n,Diptera
Baltimore,mosquito,octr,0.413510555,-0.467935295,1.008414913,-2.686730056,0.086469381,0.051392,2.314101775,5,2011,2015,parasite,terrestrial ,n,Diptera
