hours_tv_day,number_of_siblings,state,urban,school_year,school_grade,gender,goody_score
7.882010479,0,Connecticut,urban,K,f,boy,77.07553698
1.079363215,0,Rhode Island,rural,1,d,boy,88.80602516
4.872105169,2,Virginia,rural,4,a,girl,72.80517424
2.092997296,1,North Dakota,urban,1,f,boy,82.9821431
1.293896773,6,Montana,urban,4,d,girl,67.49688187
1.327873256,2,Wyoming,rural,5,b,boy,75.96701407
0.504751844,1,Texas,urban,K,f,girl,83.46158928
3.289413291,0,Oklahoma,urban,K,c,boy,87.50311943
0.312311467,1,California,rural,4,f,girl,85.44080512
0.955941962,5,Delaware,urban,5,c,girl,64.74044494
2.23006501,1,Iowa,urban,3,f,boy,86.20431425
0.961040706,2,Virginia,urban,2,a,girl,74.65206859
2.485669619,4,Alaska,rural,5,d,boy,57.73484241
0.235930208,4,Minnesota,urban,6,b,girl,73.50469699
1.613637076,2,New Jersey,urban,1,c,boy,75.57629392
1.459474952,6,Delaware,rural,K,a,girl,54.82758121
13.04389151,2,Mississippi,urban,4,b,girl,55.03504271
0.556209106,0,Maine,urban,3,f,boy,92.48238084
6.718858823,2,New Mexico,urban,6,b,boy,63.22425293
0.263480578,6,Oregon,rural,4,b,girl,47.45469561
0.193692977,1,South Carolina,urban,2,c,boy,83.75604741
0.409057403,2,Georgia,urban,6,f,boy,73.35354359
1.079088577,2,Nevada,urban,2,f,boy,78.05698516
0.017068425,2,New Jersey,urban,5,a,girl,84.09712827
0.577850398,0,Mississippi,urban,K,c,boy,93.03552296
0.606948926,2,South Dakota,rural,5,d,boy,80.21502192
0.652532772,2,New York,urban,6,a,girl,81.76300412
1.940413171,3,Utah,urban,5,c,boy,69.95432587
2.397704376,3,New Hampshire,urban,K,d,boy,70.21436146
0.564106293,2,Wisconsin,urban,4,c,boy,82.86746031
0.689175796,1,Minnesota,urban,1,c,boy,85.01322428
3.783900623,2,Virginia,urban,1,b,girl,69.22048815
1.017801372,1,Mississippi,rural,6,d,girl,81.52623178
0.05382058,3,South Dakota,rural,2,c,girl,76.27159618
0.016136709,0,New Mexico,urban,4,d,girl,93.86614586
6.401351836,6,Alaska,urban,6,b,girl,43.58267869
0.802621528,1,Idaho,urban,1,f,boy,85.06666369
0.611816588,1,Michigan,urban,5,a,boy,88.18723524
3.061307378,0,South Dakota,rural,K,c,girl,87.43905869
1.528803839,2,Kentucky,urban,3,c,girl,82.92261082
3.528614022,2,Michigan,urban,K,b,girl,71.89809493
3.498563789,2,Oklahoma,urban,3,c,girl,74.2882525
0.804173876,0,Oklahoma,urban,K,b,boy,92.03355405
4.258149527,4,Virginia,urban,1,a,girl,59.61078012
2.227845201,2,Florida,rural,3,a,girl,75.18097638
0.148599859,1,South Dakota,urban,1,d,boy,83.84593537
6.396991262,4,West Virginia,urban,3,b,boy,55.8630688
0.405687749,4,Nebraska,rural,K,a,girl,70.82310216
2.690179404,2,Illinois,urban,3,a,boy,74.6350501
2.291016637,2,Utah,urban,3,d,boy,75.83529989
1.899676831,2,Idaho,urban,5,d,boy,74.43408271
0.613219561,1,Texas,rural,K,b,girl,84.31400231
0.923289964,3,New York,urban,3,f,girl,65.41243639
0.483782065,2,New Mexico,urban,1,c,girl,82.03495756
1.596935962,1,Montana,rural,4,f,girl,81.72133838
4.667304586,0,Kansas,urban,K,d,girl,82.60731545
0.637315587,2,West Virginia,urban,5,d,girl,79.64451855
2.953836889,3,Idaho,rural,6,d,boy,62.09508069
