Age	Process	Words
Younger	Counting	8.0
Younger	Counting	6.0
Younger	Counting	4.0
Younger	Counting	6.0
Younger	Counting	7.0
Younger	Counting	6.0
Younger	Counting	5.0
Younger	Counting	7.0
Younger	Counting	9.0
Younger	Counting	7.0
Younger	Rhyming	10.0
Younger	Rhyming	7.0
Younger	Rhyming	8.0
Younger	Rhyming	10.0
Younger	Rhyming	4.0
Younger	Rhyming	7.0
Younger	Rhyming	10.0
Younger	Rhyming	6.0
Younger	Rhyming	7.0
Younger	Rhyming	7.0
Younger	Adjective	14.0
Younger	Adjective	11.0
Younger	Adjective	18.0
Younger	Adjective	14.0
Younger	Adjective	13.0
Younger	Adjective	22.0
Younger	Adjective	17.0
Younger	Adjective	16.0
Younger	Adjective	12.0
Younger	Adjective	11.0
Younger	Imagery	20.0
Younger	Imagery	16.0
Younger	Imagery	16.0
Younger	Imagery	15.0
Younger	Imagery	18.0
Younger	Imagery	16.0
Younger	Imagery	20.0
Younger	Imagery	22.0
Younger	Imagery	14.0
Younger	Imagery	19.0
Younger	Intentional	21.0
Younger	Intentional	19.0
Younger	Intentional	17.0
Younger	Intentional	15.0
Younger	Intentional	22.0
Younger	Intentional	16.0
Younger	Intentional	22.0
Younger	Intentional	22.0
Younger	Intentional	18.0
Younger	Intentional	21.0
Older	Counting	9.0
Older	Counting	8.0
Older	Counting	6.0
Older	Counting	8.0
Older	Counting	10.0
Older	Counting	4.0
Older	Counting	6.0
Older	Counting	5.0
Older	Counting	7.0
Older	Counting	7.0
Older	Rhyming	7.0
Older	Rhyming	9.0
Older	Rhyming	6.0
Older	Rhyming	6.0
Older	Rhyming	6.0
Older	Rhyming	11.0
Older	Rhyming	6.0
Older	Rhyming	3.0
Older	Rhyming	8.0
Older	Rhyming	7.0
Older	Adjective	11.0
Older	Adjective	13.0
Older	Adjective	8.0
Older	Adjective	6.0
Older	Adjective	14.0
Older	Adjective	11.0
Older	Adjective	13.0
Older	Adjective	13.0
Older	Adjective	10.0
Older	Adjective	11.0
Older	Imagery	12.0
Older	Imagery	11.0
Older	Imagery	16.0
Older	Imagery	11.0
Older	Imagery	9.0
Older	Imagery	23.0
Older	Imagery	12.0
Older	Imagery	10.0
Older	Imagery	19.0
Older	Imagery	11.0
Older	Intentional	10.0
Older	Intentional	19.0
Older	Intentional	14.0
Older	Intentional	5.0
Older	Intentional	10.0
Older	Intentional	11.0
Older	Intentional	14.0
Older	Intentional	15.0
Older	Intentional	11.0
Older	Intentional	11.0
