Length,Growth,Mass,Predator,Exposure,Presence,expunit,Alive
56.9,40.05,24.49,Conchs,1,present,Conchs_1_b,A
43.35,28.2,17.12,Conchs,1,present,Conchs_1_b,A
42.45,36.85,28.77,Conchs,1,present,Conchs_1_b,A
51.7,26.35,35.15,Conchs,1,present,Conchs_1_b,A
41.06,34.15,NA,Conchs,1,present,Conchs_1_b,A
43.8,26.75,30.09,Conchs,1,present,Conchs_1_b,A
40.75,27.6,NA,Conchs,1,present,Conchs_1_b,A
37.8,26.7,12.52,Conchs,1,present,Conchs_1_b,A
61.95,41.2,29.06,Conchs,1,present,Conchs_1_b,A
53.1,36.05,25.56,Conchs,1,present,Conchs_1_b,A
51.55,33.2,18.69,Conchs,1,present,Conchs_1_b,A
53.1,46.8,25.8,Conchs,1,present,Conchs_1_b,A
50.65,32.55,16.19,Conchs,1,present,Conchs_1_b,A
42.15,25.5,13.58,Conchs,1,present,Conchs_1_b,A
46.7,32.4,19.76,Conchs,1,present,Conchs_1_b,A
58.1,42.7,24.88,Conchs,1,present,Conchs_1_b,A
48.3,31.35,17.72,Conchs,1,present,Conchs_1_b,A
45.75,36.25,12.8,Conchs,1,present,Conchs_1_b,A
39.6,25.75,14.02,Conchs,1,present,Conchs_1_b,A
45.5,29.05,14.51,Conchs,1,present,Conchs_1_b,A
37.75,31.8,17.15,Conchs,1,present,Conchs_1_g,A
49.7,34.05,17.57,Conchs,1,present,Conchs_1_g,A
47.3,36.7,31.45,Conchs,1,present,Conchs_1_g,A
50.4,32.3,NA,Conchs,1,present,Conchs_1_g,A
48.55,30.65,24.93,Conchs,1,present,Conchs_1_g,A
40.65,31.8,25.49,Conchs,1,present,Conchs_1_g,A
44.3,34.35,30.18,Conchs,1,present,Conchs_1_g,A
39.45,25.4,19.78,Conchs,1,present,Conchs_1_g,A
40.15,26.45,15.22,Conchs,1,present,Conchs_1_g,A
55.3,42.3,20.35,Conchs,1,present,Conchs_1_g,A
48.35,33.05,14.22,Conchs,1,present,Conchs_1_g,A
5.3,34.85,18.01,Conchs,1,present,Conchs_1_g,A
44.6,31.35,13.46,Conchs,1,present,Conchs_1_g,A
40.95,25.15,8.86,Conchs,1,present,Conchs_1_g,A
48.2,37.45,18.05,Conchs,1,present,Conchs_1_g,A
45.7,31.65,16.84,Conchs,1,present,Conchs_1_g,A
46.2,38.25,14.41,Conchs,1,present,Conchs_1_g,A
47.65,36.4,20.22,Conchs,1,present,Conchs_1_g,A
46.75,32.3,16.13,Conchs,1,present,Conchs_1_g,A
55.9,40.6,24.36,Conchs,1,present,Conchs_1_g,A
42.6,27.5,11.16,Conchs,1,present,Conchs_1_o,A
43.4,NA,26.71,Conchs,1,present,Conchs_1_o,A
42.15,30.1,14.11,Conchs,1,present,Conchs_1_o,A
41.7,24.9,14.81,Conchs,1,present,Conchs_1_o,A
45.95,32.7,15.18,Conchs,1,present,Conchs_1_o,A
48.8,32.5,15.78,Conchs,1,present,Conchs_1_o,A
41.35,25.3,15.4,Conchs,1,present,Conchs_1_o,A
47.5,29.4,17.27,Conchs,1,present,Conchs_1_o,A
40.7,27.6,11.78,Conchs,1,present,Conchs_1_o,A
46.4,33.6,16.3,Conchs,1,present,Conchs_1_o,A
46.05,33.7,19.15,Conchs,1,present,Conchs_1_o,A
54.75,41.8,24.94,Conchs,1,present,Conchs_1_o,A
42.4,28.3,13.84,Conchs,1,present,Conchs_1_o,A
39.9,26.3,14.71,Conchs,1,present,Conchs_1_o,A
42.3,24,11.79,Conchs,1,present,Conchs_1_o,A
41.15,26.3,10.8,Conchs,1,present,Conchs_1_o,A
43.5,34.1,14.49,Conchs,1,present,Conchs_1_o,A
39.1,31.35,11.84,Conchs,1,present,Conchs_1_o,A
43.35,29.25,13.94,Conchs,1,present,Conchs_1_o,A
53.6,39.55,31.68,Conchs,1,present,Conchs_1_o,A
48.05,30.3,18.74,Conchs,1,present,Conchs_1_p,A
49.4,34.2,20.79,Conchs,1,present,Conchs_1_p,A
52.15,31.3,31.8,Conchs,1,present,Conchs_1_p,A
47.85,34.5,NA,Conchs,1,present,Conchs_1_p,A
47.65,37.3,27.34,Conchs,1,present,Conchs_1_p,A
40.6,31.75,NA,Conchs,1,present,Conchs_1_p,A
45.5,34.35,16.35,Conchs,1,present,Conchs_1_p,A
55.7,44.2,29.73,Conchs,1,present,Conchs_1_p,A
47.55,30.2,14.41,Conchs,1,present,Conchs_1_p,A
45.1,34.6,17.57,Conchs,1,present,Conchs_1_p,A
39.1,29.45,13.23,Conchs,1,present,Conchs_1_p,A
62.3,50.55,34.42,Conchs,1,present,Conchs_1_p,A
43.15,30.2,14.71,Conchs,1,present,Conchs_1_p,A
42.4,36.6,32.26,Conchs,1,present,Conchs_1_p,A
53.8,39.05,NA,Conchs,1,present,Conchs_1_p,A
45.8,27.7,18.09,Conchs,1,present,Conchs_1_p,A
50.1,35.3,19.91,Conchs,1,present,Conchs_1_p,A
45.6,34.55,14.42,Conchs,1,present,Conchs_1_p,A
52.55,34.2,18.66,Conchs,1,present,Conchs_1_p,A
46.75,34.7,16.63,Conchs,1,present,Conchs_1_p,A
46.05,28.5,13.55,Conchs,6,present,Conchs_6_b,A
56.6,43.25,21.6,Conchs,6,present,Conchs_6_b,A
36.6,23.35,11.75,Conchs,6,present,Conchs_6_b,A
35.35,26.15,17.32,Conchs,6,present,Conchs_6_b,A
46.2,29.1,16.42,Conchs,6,present,Conchs_6_b,A
44.15,32.6,16.01,Conchs,6,present,Conchs_6_b,A
50.2,32.25,18.33,Conchs,6,present,Conchs_6_b,A
48.3,25.3,11.38,Conchs,6,present,Conchs_6_b,A
32.85,18.45,9.49,Conchs,6,present,Conchs_6_b,A
32.65,21.85,8.82,Conchs,6,present,Conchs_6_b,A
42.8,27.4,16.57,Conchs,6,present,Conchs_6_b,A
46.7,30.35,17.28,Conchs,6,present,Conchs_6_b,A
45.6,36.75,16.14,Conchs,6,present,Conchs_6_b,A
45.2,31.3,15.93,Conchs,6,present,Conchs_6_b,A
42.7,27.45,13.37,Conchs,6,present,Conchs_6_b,A
41.35,29.4,13.8,Conchs,6,present,Conchs_6_b,A
52.95,37.35,13.2,Conchs,6,present,Conchs_6_b,A
41.7,30.5,15.3,Conchs,6,present,Conchs_6_b,A
35.15,33.6,8.69,Conchs,6,present,Conchs_6_b,A
41.55,30.7,14.05,Conchs,6,present,Conchs_6_b,A
52.4,41.55,38.8,Conchs,6,present,Conchs_6_g,A
53.25,37.8,16.93,Conchs,6,present,Conchs_6_g,A
57.4,43.2,23.54,Conchs,6,present,Conchs_6_g,A
47.2,30.6,12.83,Conchs,6,present,Conchs_6_g,A
52.3,34.6,31.5,Conchs,6,present,Conchs_6_g,A
47.8,33.15,17.74,Conchs,6,present,Conchs_6_g,A
38.35,28.7,10.47,Conchs,6,present,Conchs_6_g,A
42.4,26.05,14.03,Conchs,6,present,Conchs_6_g,A
44.8,33.15,16.19,Conchs,6,present,Conchs_6_g,A
56.1,40.25,18.15,Conchs,6,present,Conchs_6_g,A
48.6,35.9,16.93,Conchs,6,present,Conchs_6_g,A
54.3,35.65,NA,Conchs,6,present,Conchs_6_g,A
41.45,23.7,13.91,Conchs,6,present,Conchs_6_g,A
42.85,24.45,11.97,Conchs,6,present,Conchs_6_g,A
39.4,27.5,9.6,Conchs,6,present,Conchs_6_g,A
54.6,40.35,30.22,Conchs,6,present,Conchs_6_g,A
38.2,24.2,12.12,Conchs,6,present,Conchs_6_g,A
60.4,40.7,32.94,Conchs,6,present,Conchs_6_g,A
61.25,44.9,28.82,Conchs,6,present,Conchs_6_g,A
50.05,33.1,13.4,Conchs,6,present,Conchs_6_o,A
36.1,23.55,10.41,Conchs,6,present,Conchs_6_o,A
37.4,22.3,7.32,Conchs,6,present,Conchs_6_o,A
38.7,23.15,11.74,Conchs,6,present,Conchs_6_o,A
38.05,25.2,13.14,Conchs,6,present,Conchs_6_o,A
41.6,26.9,11.48,Conchs,6,present,Conchs_6_o,A
40.6,29.4,10.66,Conchs,6,present,Conchs_6_o,A
41.2,28.7,13.45,Conchs,6,present,Conchs_6_o,A
34.5,26.1,10.6,Conchs,6,present,Conchs_6_o,A
43.05,25.65,13.5,Conchs,6,present,Conchs_6_o,A
42.75,28.1,14.71,Conchs,6,present,Conchs_6_o,A
46.3,31.15,12.3,Conchs,6,present,Conchs_6_o,A
50.65,30.65,28.4,Conchs,6,present,Conchs_6_o,A
42.6,29.25,11.83,Conchs,6,present,Conchs_6_o,A
37.35,24.05,10.44,Conchs,6,present,Conchs_6_o,A
34.45,19.15,9.93,Conchs,6,present,Conchs_6_o,A
43.2,31.05,10.98,Conchs,6,present,Conchs_6_o,A
38.15,26.9,11.78,Conchs,6,present,Conchs_6_o,A
45.1,30.45,16.15,Conchs,6,present,Conchs_6_o,A
42.05,29.3,14.83,Conchs,6,present,Conchs_6_o,A
41.25,28.65,7.56,Conchs,6,present,Conchs_6_p,A
52.2,33.05,20.9,Conchs,6,present,Conchs_6_p,A
38.05,27.6,8.44,Conchs,6,present,Conchs_6_p,A
42.45,30.8,11.3,Conchs,6,present,Conchs_6_p,A
51.8,37.55,17.18,Conchs,6,present,Conchs_6_p,A
