Height,Weight,Age,Gender,Smokes,Alcohol,Exercise,Year,Change
179,58,19,2,2,1,2,93,0.829268293
167,62,18,2,2,1,1,93,0.833333333
184,74,22,1,2,1,3,93,0.807692308
168,60,23,1,2,1,2,93,0.704545455
170,75,20,1,2,1,1,93,0.157894737
180,70,18,1,2,1,2,93,0.825
140,50,34,2,2,2,3,93,0.4
177,74,18,2,2,2,2,93,0.371428571
189,60,19,1,2,1,2,95,1.153846154
178,56,21,2,2,1,2,95,0.744186047
175,75,20,1,2,1,2,95,0.559322034
180,85,19,1,1,1,2,95,0.838235294
160,57,19,2,2,2,2,95,0.733333333
164,66,23,2,2,2,3,95,1.27027027
175,65,19,1,2,1,2,95,0.733333333
163,55,20,2,2,2,2,95,0.7
185,90,18,1,2,2,3,95,0.75
174,60,19,2,2,1,3,96,0.348484848
157,41,20,2,2,2,2,96,0.357142857
182,63,20,1,2,1,1,96,0.964285714
173,70,20,1,2,1,1,96,0.96875
158,51,18,2,2,2,2,96,0.235294118
180,75,20,1,2,1,2,96,0.261538462
180,77,18,2,2,2,2,96,1.893617021
188,87,20,1,2,1,1,96,0.8
166,50,19,2,2,1,3,96,0.736842105
175,57,20,2,2,1,2,96,0.597222222
182,98,19,1,2,1,2,96,0.973684211
151,42,22,2,2,2,3,97,0.529411765
186,87,23,1,2,1,1,97,0.693877551
179,80,20,1,2,1,2,97,0.068965517
172,53,20,1,2,2,3,97,0.888888889
163,51,18,2,2,1,3,97,0.714285714
191,78,19,1,2,1,1,97,1
172,59,18,2,2,1,2,97,0.653846154
194,95,18,1,2,1,2,97,0.666666667
162,50,19,2,2,1,2,97,0.777777778
175,78.5,19,1,2,1,3,97,0.541176471
186,96,19,1,2,1,3,97,0.692307692
164,78,28,2,2,2,2,98,0.875
180,65,20,1,2,2,2,98,0.636363636
165,60,19,2,1,1,3,98,0.363636364
68,63,19,1,2,2,2,98,0.545454545
170,63,20,2,2,1,3,98,0.304347826
179,80,20,1,2,2,2,98,1.210526316
163,47,23,2,1,1,3,98,0.76056338
