feed,sleep,speed
old,little,20.39769802
old,little,18.8796627
old,little,20.78152975
old,little,19.38722651
old,little,20.93832327
old,little,21.00926418
old,little,19.39241406
old,little,21.52047791
old,little,20.5859769
old,little,19.70828939
old,little,20.58816962
old,little,19.53339396
old,little,21.12070661
old,little,19.56011822
old,little,20.2129917
old,little,19.16078041
old,little,20.25701321
old,little,19.9664835
old,little,20.83260239
old,little,19.87081708
old,little,18.66610117
old,little,19.48633685
old,little,20.65793771
old,little,19.91799224
old,little,19.46216247
old,lot,21.49946049
old,lot,22.11956384
old,lot,20.76788615
old,lot,21.17064955
old,lot,20.07752382
old,lot,20.94437526
old,lot,20.61944177
old,lot,20.78248718
old,lot,20.70902618
old,lot,20.36026986
old,lot,19.2612072
old,lot,20.91477805
old,lot,19.91839063
old,lot,19.84852832
old,lot,19.46396642
old,lot,19.22790077
old,lot,18.58867104
old,lot,21.14043074
old,lot,21.04109896
old,lot,21.23109403
old,lot,20.9363078
old,lot,20.32524597
old,lot,20.96012755
old,lot,19.10629043
old,lot,19.51321015
new,little,20.38792158
new,little,19.81703663
new,little,19.44692583
new,little,20.245906
new,little,21.86114921
new,little,21.05254555
new,little,18.63491121
new,little,19.35535237
new,little,19.85934995
new,little,21.5363671
new,little,19.35582121
new,little,19.52043181
new,little,20.92316041
new,little,20.21740314
new,little,20.4406445
new,little,21.74296311
new,little,20.88904372
new,little,20.38022376
new,little,18.6729718
new,little,19.49176656
new,little,20.23545537
new,little,20.0780145
new,little,20.50685761
new,little,19.16212101
new,little,19.33066078
new,lot,24.31592331
new,lot,24.56173681
new,lot,24.19828017
new,lot,23.98519236
new,lot,22.62250541
new,lot,24.63122244
new,lot,22.14847041
new,lot,25.3411123
new,lot,23.6026258
new,lot,25.02667651
new,lot,24.71616518
new,lot,25.40784624
new,lot,27.4068564
new,lot,25.14172033
new,lot,23.11204328
new,lot,22.47716727
new,lot,23.65942539
new,lot,26.58550057
new,lot,21.75121002
new,lot,22.5176048
new,lot,23.46500049
new,lot,24.70163505
new,lot,27.55296826
new,lot,27.5878396
new,lot,27.95349979
