Plot.Number,Sampling.Period,Site.Name,Number.of.Tree.Family,Number.of.Tree.Genus,Number.of.Trees.counted,shannon,wd.RaoQ,maxdbh.RaoQ,CWM.wd,CWM.maxdbh,PD,PlotBiomass.kg,PlotCarbon.tonnes,Reserve_size.sqkm,Continent,Country,Precip_mean.mm,Precip_CV,Elevation,Distance_to_forest_edge,Latitude,Longitude,Annual_Evapotranspiration
VG-BBS-1,2010.01,Bukit Barisan,32,59,489,2.76305474,1.273304926,0.060757463,0.516359385,52.91666667,6803.812554,208276.73,114.55,3560,Asia,Indonesia,2871.332897,0.145998519,56,0.1,-5.25,104.167,141.5625745
VG-BBS-2,2010.01,Bukit Barisan,40,80,426,3.68310785,0.704303728,0.044971992,0.573834255,46.49706573,8881.41439,215965.15,118.78,3560,Asia,Indonesia,2871.332897,0.145998519,22,0.1,-5.25,104.167,141.5625745
VG-BBS-3,2010.01,Bukit Barisan,37,69,371,3.59316945,1.240225334,0.054251234,0.547462736,52.20660377,7957.517385,223417.41,122.88,3560,Asia,Indonesia,2871.332897,0.145998519,31,0.1,-5.25,104.167,141.5625745
VG-BBS-4,2010.01,Bukit Barisan,37,78,447,3.52364018,0.555614325,0.188277023,0.595612042,65.23635347,8221.577788,418867.8,230.38,3560,Asia,Indonesia,2871.332897,0.145998519,197,1.7,-5.25,104.167,141.5625745
VG-BBS-5,2010.01,Bukit Barisan,34,54,224,3.44149258,0.839365629,0.10622086,0.551888732,55.64575893,6323.870496,136455.82,75.05,3560,Asia,Indonesia,2871.332897,0.145998519,66,1,-5.25,104.167,141.5625745
VG-BBS-6,2010.01,Bukit Barisan,34,60,427,3.10131975,0.44709208,0.223201686,0.584201692,70.29355972,7152.505547,384264.25,211.35,3560,Asia,Indonesia,2871.332897,0.145998519,166,0.1,-5.25,104.167,141.5625745
VG-BCI-1,2010.01,Barro Colorado Nature Monument - Soberania National Park,37,74,441,3.45515236,0.735052617,0.081321723,0.621279033,42.39206349,8384.451122,285362.27,156.95,274,Latin_America,Panama,2420,0.608913889,58,0.5,9.152,-79.846,121.5588894
VG-BCI-3,2010.01,Barro Colorado Nature Monument - Soberania National Park,39,76,591,3.60297549,1.362489457,0.113880314,0.530346473,47.33181049,8648.816832,266261.74,146.44,274,Latin_America,Panama,2420,0.608913889,156,0.1,9.152,-79.846,121.5588894
VG-BCI-4,2010.01,Barro Colorado Nature Monument - Soberania National Park,38,81,566,3.59679907,1.641839332,0.10261697,0.551137764,44.895053,8503.733094,386951.19,212.82,274,Latin_America,Panama,2420,0.608913889,189,1.4,9.152,-79.846,121.5588894
VG-BCI-5,2010.01,Barro Colorado Nature Monument - Soberania National Park,38,75,523,3.41110402,1.486002531,0.103107784,0.544489209,49.31051625,8509.727353,374763.58,206.12,274,Latin_America,Panama,2420,0.608913889,170,0.9,9.152,-79.846,121.5588894
VG-BCI-6,2010.01,Barro Colorado Nature Monument - Soberania National Park,34,62,482,3.03939323,0.503553275,0.149178758,0.611149914,44.56058091,7145.060353,272974.55,150.14,274,Latin_America,Panama,2420,0.608913889,68,0.9,9.152,-79.846,121.5588894
VG-BIF-1,2011.01,Bwindi Impenetrable Forest,30,40,559,2.85476278,0.512510517,0.08357307,0.580734816,59.04436494,5427.295828,200216.21,110.12,331,Africa,Uganda,1239,0.323365924,1496,0.6,-1.081,29.661,88.35370759
VG-BIF-2,2011.01,Bwindi Impenetrable Forest,21,29,382,2.22297404,1.119050098,0.077316482,0.552200137,65.64581152,4975.062633,77223.77,42.47,331,Africa,Uganda,1239,0.323365924,1417,0.2,-1.081,29.661,88.35370759
VG-BIF-3,2011.01,Bwindi Impenetrable Forest,31,37,602,3.09965582,0.356146586,0.088319189,0.539173724,56.85980066,5803.155579,201722.01,110.95,331,Africa,Uganda,1239,0.323365924,1879,1,-1.081,29.661,88.35370759
VG-BIF-4,2011.01,Bwindi Impenetrable Forest,26,28,684,2.07103783,0.246777325,0.165548356,0.542767254,78.6874269,4560.518721,339805.11,186.89,331,Africa,Uganda,1239,0.323365924,2050,3.1,-1.081,29.661,88.35370759
VG-BIF-5,2011.01,Bwindi Impenetrable Forest,24,29,299,2.54405831,0.893280769,0.046805581,0.605939663,63.14046823,4547.959771,203638.66,112,331,Africa,Uganda,1239,0.323365924,2100,1.7,-1.081,29.661,88.35370759
VG-BIF-6,2011.01,Bwindi Impenetrable Forest,20,23,636,1.90505167,0.686402598,0.057262508,0.485176212,64.27641509,4330.643138,205861.14,113.22,331,Africa,Uganda,1239,0.323365924,2338,3.1,-1.081,29.661,88.35370759
VG-CAX-1,2010.01,Caxiuanã,30,76,523,3.05750769,0.509323004,0.085163591,0.753230857,76.16500956,8743.587225,463357.06,254.85,330,Latin_America,Brazil,2342,0.574765076,44,3.1,-1.729,-51.474,157.0110761
VG-CAX-2,2010.01,Caxiuanã,35,96,511,3.65494197,0.689758797,0.088459069,0.715842783,65.35694716,9889.883001,546178.83,300.4,330,Latin_America,Brazil,2342,0.574765076,42,1.7,-1.729,-51.474,157.0110761
VG-CAX-3,2010.01,Caxiuanã,35,87,419,3.32301025,0.710848176,0.111699555,0.718495904,69.24033413,9354.791915,637007.56,350.35,330,Latin_America,Brazil,2342,0.574765076,53,1.9,-1.729,-51.474,157.0110761
VG-CAX-4,2010.01,Caxiuanã,33,93,479,3.64519889,0.743108496,0.116517039,0.689061741,61.17035491,9550.403588,478605.35,263.23,330,Latin_America,Brazil,2342,0.574765076,48,1.7,-1.729,-51.474,157.0110761
VG-CAX-5,2010.01,Caxiuanã,39,97,512,3.80141028,0.660359205,0.117712625,0.691374731,58.67636719,10377.79968,588733.32,323.8,330,Latin_America,Brazil,2342,0.574765076,49,1,-1.729,-51.474,157.0110761
VG-CAX-6,2010.01,Caxiuanã,35,87,468,3.5623119,0.674556364,0.099226613,0.722145302,69.69380342,9415.31171,395174.24,217.35,330,Latin_America,Brazil,2342,0.574765076,50,2.2,-1.729,-51.474,157.0110761
VG-MAS-1,2011.01,Manaus,46,133,647,4.14430059,0.701711425,0.043820707,0.688445657,50.6179289,12757.04208,434644.86,239.05,2678,Latin_America,Brazil,2192,0.428891421,81,5.3,-2.929,-59.976,132.4597239
VG-MAS-2,2011.01,Manaus,44,126,639,4.11825392,0.631465169,0.04265087,0.690779818,50.43302034,12675.81726,393793.04,216.59,2678,Latin_America,Brazil,2192,0.428891421,107,3.5,-2.929,-59.976,132.4597239
VG-MAS-3,2011.01,Manaus,46,126,704,3.90829684,0.777360488,0.038547385,0.692021658,53.28153409,12252.81513,334585,184.02,2678,Latin_America,Brazil,2192,0.428891421,128,8.9,-2.929,-59.976,132.4597239
VG-MAS-4,2011.01,Manaus,40,124,648,4.11566893,0.962315256,0.038889892,0.623080882,48.27901235,11814.633,293915.24,161.65,2678,Latin_America,Brazil,2192,0.428891421,149,19.8,-2.929,-59.976,132.4597239
VG-MAS-5,2011.01,Manaus,47,138,723,4.08664831,0.77493455,0.042310004,0.688480444,51.52185339,12925.018,320453.57,176.25,2678,Latin_America,Brazil,2192,0.428891421,77,10.7,-2.929,-59.976,132.4597239
VG-MAS-6,2011.01,Manaus,45,123,741,3.9284025,0.773438418,0.04161728,0.663210391,51.81430499,11743.03812,304829.96,167.66,2678,Latin_America,Brazil,2192,0.428891421,119,7.8,-2.929,-59.976,132.4597239
VG-NNN-1,2010.01,Nouabalé Ndoki,26,49,253,3.19867415,0.821131039,0.087841725,0.669245588,88.77312253,6187.435864,416711.42,229.19,4200,Africa,Congo,1662.2,0.456936366,470,35.8,NA,NA,NA
VG-NNN-2,2010.01,Nouabalé Ndoki,26,42,295,2.96049564,0.693309439,0.157739423,0.665544401,93.94711864,5576.137134,426991.35,234.85,4200,Africa,Congo,1662.2,0.456936366,504,32.7,NA,NA,NA
