Location,Mass,Sex,Shell Length
San Diego,126.1,F,
San Diego,119.92,M,106.21
San Diego,40.07,M,75.58
San Diego,140.82,F,107.59
San Diego,49.7,M,76.23
San Diego,,M,70.1
San Diego,,F,80.14
San Diego,,M,66.4
San Diego,,F,106.49
San Diego,,F,93.14
San Diego,,M,69.51
San Diego,,M,76.16
San Diego,,F,106.9
San Diego,,M,91.56
San Diego,,F,100.51
San Diego,,F,87.07
San Diego,,F,120.2
San Diego,,F,86.11
San Diego,,F,79.26
San Diego,,M,78.66
San Diego,,M,68.61
San Diego,,M,98.25
San Diego,,F,97.44
San Diego,31.436,M,63.82
San Diego,35.27,M,67.35
San Diego,44.276,F,81.2
San Diego,87.352,M,93.23
San Diego,43.533,M,72.06
San Diego,63.256,F,81.89
San Diego,32.816,F,66.78
San Diego,69.756,F,80.55
San Diego,48.727,F,74.59
San Diego,66.358,M,79.64
San Diego,38.105,M,69.86
San Diego,56.258,M,75.92
San Diego,77.61,M,89.45
San Diego,77.327,F,89.61
San Diego,103.226,F,100.37
San Diego,39.365,F,74.47
San Diego,68.595,M,87.72
San Diego,135.557,F,103.08
San Diego,57.736,F,83.36
San Diego,48.755,F,75.96
San Diego,27.126,F,59.79
San Diego,73.022,M,68.26
San Diego,46.579,M,86.59
San Diego,67.558,M,82.73
San Diego,53.088,F,77.38
San Diego,44.061,F,76.65
San Diego,30.264,F,65.57
San Diego,74.218,F,90.66
San Diego,46.292,M,77.28
San Diego,30.668,M,64
San Diego,36.732,M,67.55
San Diego,51.288,F,73.4
San Diego,61.634,M,82.93
San Diego,65.292,M,83.01
San Diego,25.733,M,63.27
San Diego,58.781,F,82.78
San Diego,31.542,M,67.43
San Diego,53.126,M,78.05
San Diego,37.089,,69.8
San Diego,29.094,M,64.08
San Diego,18.987,F,57.51
San Diego,61.788,M,70.65
San Diego,56.094,F,
San Diego,53.351,F,78.58
San Diego,68.175,F,92.26
San Diego,59.116,M,80.08
San Diego,43.826,M,74.45
San Diego,80.589,F,90
San Diego,99.932,F,93.21
San Diego,45.42,F,72.07
San Diego,17.698,M,57.04
San Diego,55.447,M,79.88
San Diego,39.539,M,67.21
San Diego,23.522,M,61.05
San Diego,91.223,F,89.62
San Diego,193.383,F,116.85
San Diego,55.667,F,84.11
San Diego,132.614,F,102.77
San Diego,48.307,M,82.42
San Diego,67.059,M,86.5
San Diego,47.843,F,75.91
San Diego,42.559,M,75.32
San Diego,31.979,M,65.99
San Diego,35.044,M,64.48
San Diego,48.5,F,75.58
San Diego,31.504,F,64.35
San Diego,26.86,M,67.4
San Diego,31.746,F,65.97
San Diego,123.84,F,104.97
San Diego,24.457,M,59.96
San Diego,43.956,M,77.66
San Diego,9.906,F,43.58
San Diego,20.082,M,55.88
San Diego,143.21,F,112.94
San Diego,33.26,M,66.7
San Diego,38.7,M,72.96
San Diego,50.24,F,77.11
San Diego,27.18,M,64.93
San Diego,51.18,F,76.35
San Diego,51.46,,81.59
San Diego,53.72,M,81.1
San Diego,46.17,M,75.56
San Diego,83.69,F,92.03
San Diego,88.52,M,90
