"field","before","after"
"a",114,91.6448808364616
"b",157,143.431711907841
"c",214,197.210325494106
"d",105,92.3766098108989
"e",147,132.868910130532
"f",155,142.216815811286
"g",178,163.956881203293
"h",140,128.228493061436
"i",229,213.147526838535
"j",144,126.669974178061
"k",167,150.213018503925
"l",189,168.822060662562
"m",134,116.292246560709
"n",108,91.3228142552986
"o",221,205.260462297999
"p",58,41.8492413147057
"q",185,164.122690474499
"r",151,133.474884819593
"s",191,181.710642402043
"t",167,153.867481790362
"u",234,224.972761306741
"v",102,86.0835488254756
"w",214,198.727467294398
"x",228,212.447515645346
"y",150,131.403696704078
